symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,69258.0,1386070828413.0,-3.4613990171479134
ETH,Ethereum,2067.48,249676087539.0,-5.522301431542554
USDT,Tether,0.999581,184140965479.0,-0.01726541597109172
BNB,BNB,629.08,85819862042.0,-2.9265381550579215
XRP,XRP,1.37,84152498580.0,-3.900621386457977
USDC,USDC,0.999815,78628300994.0,0.00025190576627036115
SOL,Solana,87.61,50138159782.0,-5.677485300479967
TRX,TRON,0.311781,29541819480.0,0.6871825980758357
FIGR_HELOC,Figure Heloc,1.024,16544238058.0,-0.9227560457414636
DOGE,Dogecoin,0.091329,14026127172.0,-5.792634576652428
