source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.008319,3.036435,100000.0,VIP0,daily,2026-03-26T12:01:08.363715+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-03-26T12:01:08.724808+00:00
Bybit,USDT,0.008402680800000001,3.066978492,8000000.0,No VIP,hourly,2026-03-26T12:01:09.494908+00:00
Backpack,USDT,0.007002224494864915,2.555811940625694,50000000.0,Public,annual,2026-03-26T12:01:09.931137+00:00
Binance,USDC,0.008203,2.994095,100000.0,VIP0,daily,2026-03-26T12:01:08.363834+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-03-26T12:01:08.724821+00:00
Bybit,USDC,0.0080022792,2.9208319080000003,3500000.0,No VIP,hourly,2026-03-26T12:01:09.494939+00:00
Backpack,USDC,0.003816292608469508,1.3929468020913705,300000000.0,Public,annual,2026-03-26T12:01:09.931176+00:00
Bybit,DAI,0.07328500800000001,26.749027920000003,481800.0,No VIP,hourly,2026-03-26T12:01:09.494950+00:00
Bybit,USDE,0.013699096800000001,5.000170332,1013200.0,No VIP,hourly,2026-03-26T12:01:09.494958+00:00
Binance,BTC,0.0010890000000000001,0.39748500000000003,60.0,VIP0,daily,2026-03-26T12:01:08.363942+00:00
OKX,BTC,0.00276,1.0074,175.0,Public,daily,2026-03-26T12:01:08.724884+00:00
Bybit,BTC,0.0010893216,0.397602384,300.0,No VIP,hourly,2026-03-26T12:01:09.494964+00:00
Backpack,BTC,0.0008002856476854626,0.29210426140519385,3000.0,Public,annual,2026-03-26T12:01:09.931206+00:00
Binance,ETH,0.005818,2.12357,400.0,VIP0,daily,2026-03-26T12:01:08.363970+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-03-26T12:01:08.724887+00:00
Bybit,ETH,0.0060721608,2.216338692,2000.0,No VIP,hourly,2026-03-26T12:01:09.494970+00:00
Backpack,ETH,0.00820104747457568,2.993382328220123,20000.0,Public,annual,2026-03-26T12:01:09.931215+00:00
