asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend,source
BTC,BTCUSDT,64473.36,64035.16,64535.93,63813.18,0.684,91.34278796264272,区间震荡,Binance.US fallback
ETH,ETHUSDT,1879.18,1860.96,1881.18,1851.93,0.979,93.16239316239316,区间震荡,Binance.US fallback
