source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.010163,3.709495,500000.0,VIP0,daily,2026-07-02T12:02:51.724337+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-07-02T12:02:52.860115+00:00
Backpack,USDT,0.011097478224489999,4.050579551938849,50000000.0,Public,annual,2026-07-02T12:02:54.929495+00:00
Binance,USDC,0.013273000000000002,4.844645,500000.0,VIP0,daily,2026-07-02T12:02:51.724478+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-07-02T12:02:52.860175+00:00
Backpack,USDC,0.006101520220250276,2.227054880391351,300000000.0,Public,annual,2026-07-02T12:02:54.929517+00:00
Binance,BTC,0.001064,0.38836,100.0,VIP0,daily,2026-07-02T12:02:51.724855+00:00
OKX,BTC,0.001392,0.50808,175.0,Public,daily,2026-07-02T12:02:52.860396+00:00
Backpack,BTC,0.0012589824462460946,0.4595285928798245,3000.0,Public,annual,2026-07-02T12:02:54.929539+00:00
Binance,ETH,0.006442,2.35133,2000.0,VIP0,daily,2026-07-02T12:02:51.724930+00:00
OKX,ETH,0.004128,1.5067199999999998,7000.0,Public,daily,2026-07-02T12:02:52.860407+00:00
Backpack,ETH,0.002510234377669996,0.9162355478495485,20000.0,Public,annual,2026-07-02T12:02:54.929546+00:00
