asset,provider,apy_pct,source
DAI,EarnPark,7.0,Bitcompare
PYUSD,Euler Finance,4.59,Bitcompare
TUSD,JustLend,1.37,Bitcompare
USDC,EarnPark,4.0,Bitcompare
USDE,Pendle,4.04,Bitcompare
USDP,Nexo,10.5,Bitcompare
USDT,Bitfinex,10.67,Bitcompare
