rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,46896248784.19341,-43.93390195,7063643331.487877,39832605452.705536
2,Coinbase Exchange,coinbase-exchange,1038768787.3073032,-61.70892669,1038768787.3073032,0.0
3,Upbit,upbit,1105876491.7263618,-28.55423072,1105876491.7263618,0.0
6,OKX,okx,16520075599.442322,-51.80532782,1364049916.503102,15156025682.93922
7,Bybit,bybit,12643065345.991,-44.42564389,1495651564.5021768,11147413781.488823
8,Bitget,bitget,7491624235.539405,-46.54683155,1010324023.350737,6481300212.188668
9,Gate,gate,10041531848.613327,-46.50174878,1340622789.0127556,8700909059.60057
12,KuCoin,kucoin,4336174008.547397,-37.8601365,1673384398.493607,2662789610.0537896
18,MEXC,mexc,12766593290.517225,-52.57865857,787739609.6648936,11978853680.852331
24,HTX,htx,3140053030.9324503,-43.96688748,970688816.2222546,2169364214.7101955
