id,symbol,name,start_price_usd,end_price_usd,monthly_change_pct
bitcoin,btc,Bitcoin,66747.84849753733,78678.0,17.873462247854818
ethereum,eth,Ethereum,2050.4248845366046,2324.71,13.37698920511216
ripple,xrp,XRP,1.3174576512145508,1.39,5.506237617472808
binancecoin,bnb,BNB,585.4508865147706,619.77,5.8619970138799165
solana,sol,Solana,79.36088278051426,84.3,6.223616782522049
tron,trx,TRON,0.3138858104577285,0.337588,7.551214088877548
dogecoin,doge,Dogecoin,0.09130405499694197,0.1086,18.943238614799
whitebit,wbt,WhiteBIT Coin,51.10722948584553,58.74,14.93481566295512
hyperliquid,hype,Hyperliquid,35.695980678700565,41.1,15.139013464683885
leo-token,leo,LEO Token,10.085890313487138,10.32,2.321160346150142
