currency,instrument,last_price,mark_price,open_interest,current_funding,funding_8h,volume_usd_24h
BTC,BTC-PERPETUAL,61709.5,61716.02,1164497860.0,-0.00010132,-4.99e-05,790775380.0
ETH,ETH-PERPETUAL,1647.35,1647.44,317063926.0,0.0,2e-06,152916150.0
