date,btc_dvol_close,eth_dvol_close
2026-05-01,38.52,54.74
2026-05-02,39.31,54.86
2026-05-03,39.05,55.28
2026-05-04,41.0,55.86
2026-05-05,40.28,55.03
2026-05-06,39.41,55.56
2026-05-07,38.85,54.22
2026-05-08,37.66,53.45
2026-05-09,38.61,53.79
2026-05-10,38.72,54.61
2026-05-11,38.33,53.53
2026-05-12,38.55,53.33
2026-05-13,39.83,54.2
2026-05-14,39.02,54.21
2026-05-15,39.05,53.33
2026-05-16,40.21,54.13
2026-05-17,40.24,55.63
2026-05-18,39.93,52.99
2026-05-19,39.76,52.15
2026-05-20,38.47,52.0
2026-05-21,36.62,49.43
2026-05-22,37.09,50.29
2026-05-23,36.7,50.83
2026-05-24,36.03,51.3
2026-05-25,34.44,47.66
2026-05-26,35.86,48.78
2026-05-27,37.19,49.29
2026-05-28,37.27,49.24
2026-05-29,35.99,48.59
2026-05-30,35.28,48.91
2026-05-31,36.4,49.63
