currency,instrument,last_price,mark_price,open_interest,current_funding,funding_8h,volume_usd_24h
BTC,BTC-PERPETUAL,65921.5,65924.38,1086510510.0,0.0,-4.392e-05,777239090.0
ETH,ETH-PERPETUAL,1929.85,1929.84,342833373.0,-0.000128,-3.8e-05,226066999.0
