id,symbol,name,start_price_usd,end_price_usd,monthly_change_pct
bitcoin,btc,Bitcoin,65950.86926661982,68403.0,3.7181173813902886
ethereum,eth,Ethereum,1937.8879672067444,2121.64,9.482077184168409
binancecoin,bnb,BNB,622.0537350473536,612.89,-1.4731420343703856
ripple,xrp,XRP,1.345297468533703,1.35,0.3495532829198668
solana,sol,Solana,83.71392627325457,83.08,-0.757253065858284
tron,trx,TRON,0.28161629025634183,0.315598,12.06667047304907
dogecoin,doge,Dogecoin,0.09142474582134154,0.092686,1.379554482025197
whitebit,wbt,WhiteBIT Coin,48.09343486809361,52.18,8.497137172910719
leo-token,leo,LEO Token,9.025609912166601,10.03,11.128223993809794
bitcoin-cash,bch,Bitcoin Cash,440.8357128546581,460.42,4.442536431207601
