source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.008208,2.99592,100000.0,VIP0,daily,2026-05-06T12:02:32.552954+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-05-06T12:02:32.938037+00:00
Bybit,USDT,0.008208,2.99592,8000000.0,No VIP,hourly,2026-05-06T12:02:34.026126+00:00
Backpack,USDT,0.009771156888016474,3.566472264126013,50000000.0,Public,annual,2026-05-06T12:02:34.433126+00:00
Binance,USDC,0.008137,2.970005,100000.0,VIP0,daily,2026-05-06T12:02:32.553183+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-05-06T12:02:32.938096+00:00
Bybit,USDC,0.006921552,2.52636648,3500000.0,No VIP,hourly,2026-05-06T12:02:34.026161+00:00
Backpack,USDC,0.005519583141986001,2.01464784682489,300000000.0,Public,annual,2026-05-06T12:02:34.433179+00:00
Bybit,USDE,0.013699099200000002,5.000171208000001,1013200.0,No VIP,hourly,2026-05-06T12:02:34.026299+00:00
Binance,BTC,0.001155,0.421575,60.0,VIP0,daily,2026-05-06T12:02:32.553689+00:00
OKX,BTC,0.001392,0.50808,175.0,Public,daily,2026-05-06T12:02:32.938383+00:00
Bybit,BTC,0.0011359824,0.41463357599999995,300.0,No VIP,hourly,2026-05-06T12:02:34.026308+00:00
Backpack,BTC,0.0015375271373204698,0.5611974051219715,3000.0,Public,annual,2026-05-06T12:02:34.433219+00:00
Binance,ETH,0.005725,2.0896250000000003,400.0,VIP0,daily,2026-05-06T12:02:32.553773+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-05-06T12:02:32.938397+00:00
Bybit,ETH,0.005725428,2.08978122,2000.0,No VIP,hourly,2026-05-06T12:02:34.026317+00:00
Backpack,ETH,0.003701208444715086,1.3509410823210064,20000.0,Public,annual,2026-05-06T12:02:34.433233+00:00
