protocol,chain,asset,supply_apy_pct,rewards_apy_pct,total_apy_pct,borrow_apy_pct,tvl_usd,total_supply_usd,total_borrow_usd,utilization_pct,supply_cap_usd,borrow_cap_usd,available_liquidity_usd,can_be_collateral,is_paused,is_frozen,data_completeness,risk_note,safety_rank,pool_id,source_primary,source_tags,updated_at_utc
Aave,Ethereum,USDC,3.620662459756726,,3.51879,4.377990993065229,149970316.0,,,92.22758404752685,4999364100.0,4499427690.0,149290817.09773237,True,False,False,6,审计成熟/头部流动性,1,aa70268e-4b52-42bf-a116-608b370f9501,DefiLlama+Aave API,"DefiLlama,Aave API",2026-05-06T12:02:36.306979+00:00
Aave,Ethereum,USDT,3.9767455191841687,,3.83096,4.793363308452977,146871509.0,,,92.54555164525817,5999600940.0,5399640846.0,145562772.73114222,True,False,False,6,审计成熟/头部流动性,1,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,DefiLlama+Aave API,"DefiLlama,Aave API",2026-05-06T12:02:36.306986+00:00
Aave,Ethereum,DAI,2.9754875826205542,,2.93208,4.717379896033156,18801327.0,,,84.81481765043212,199994672.0,179995204.8,18802562.31201295,False,False,False,6,审计成熟/头部流动性,1,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,DefiLlama+Aave API,"DefiLlama,Aave API",2026-05-06T12:02:36.307154+00:00
Aave,Ethereum,USDS,0.927129305827096,,0.92286,5.840923280720512,16119853.0,,,21.676156523380165,49979276.5,34185825.126,16119408.427287864,False,False,False,6,审计成熟/头部流动性,1,e65588a1-27ad-4e20-9232-68a6cfaccf63,DefiLlama+Aave API,"DefiLlama,Aave API",2026-05-06T12:02:36.307182+00:00
Aave,Ethereum,PYUSD,3.0423576457986115,,2.8658,4.476742970650387,6662373.0,,,76.03715074853142,300044916.0,270040424.4,6024242.476828954,True,False,False,6,审计成熟/头部流动性,1,d118f505-e75f-4152-bad3-49a2dc7482bf,DefiLlama+Aave API,"DefiLlama,Aave API",2026-05-06T12:02:36.307324+00:00
Aave,Base,USDC,3.468273850269436,,3.40426,4.448290078567276,22797550.0,,,87.04374990993881,229956300.0,206960670.0,22674815.99208109,True,False,False,6,审计成熟/头部流动性,2,7e0661bf-8cf3-45e6-9424-31916d4c7b84,DefiLlama+Aave API,"DefiLlama,Aave API",2026-05-06T12:02:36.307129+00:00
Aave,Arbitrum,USDC,3.224793055304455,,3.18597,4.038397734665528,17913532.0,,,89.07715106953773,299935224.0,269941701.6,18194641.186501324,True,False,False,6,审计成熟/头部流动性,2,d9fa8e14-0447-4207-9ae8-7810199dfa1f,DefiLlama+Aave API,"DefiLlama,Aave API",2026-05-06T12:02:36.307164+00:00
Aave,Arbitrum,DAI,3.077616654811712,,3.02048,4.852738005605985,498619.0,,,85.29585738907201,4900194.481,4410175.0329,492880.8182040425,False,False,False,6,审计成熟/头部流动性,2,a8e3d841-2788-4647-ad54-5a36fac451b1,DefiLlama+Aave API,"DefiLlama,Aave API",2026-05-06T12:02:36.308166+00:00
Spark,Ethereum,USDT,2.5,,2.5,,1179158627.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,DefiLlama,DefiLlama,2026-05-06T12:02:36.306910+00:00
Spark,Ethereum,USDC,3.65,,3.65,,920391842.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,c5c74dd1-995c-4445-9d84-3e710bad7d52,DefiLlama,DefiLlama,2026-05-06T12:02:36.306942+00:00
