rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,75302388674.87045,18.32192118,11363309090.550709,63939079584.31975
2,Coinbase Exchange,coinbase-exchange,2230509213.0817604,24.83336921,2230509213.0817604,0.0
3,Upbit,upbit,1278852428.0468807,29.11708721,1278852428.0468807,0.0
6,OKX,okx,26813205863.659477,15.86422385,2159941044.771892,24653264818.887585
7,Bybit,bybit,17992977449.53747,14.09324135,2067921566.7632794,15925055882.77419
8,Bitget,bitget,10694068223.684826,11.28832707,1106887586.0796993,9587180637.605125
9,Gate,gate,17051108793.035099,17.32295558,1726653508.9078767,15324455284.127224
10,KuCoin,kucoin,5430710750.436196,13.01599034,2300176377.6386113,3130534372.7975855
12,MEXC,mexc,26261535332.09362,10.50654909,1395468817.9338512,24866066514.15977
21,HTX,htx,4675515563.480782,17.3119057,1346543910.0237598,3328971653.4570217
