symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,70869.0,1414648482391.0,1.0323219291471788
ETH,Ethereum,2159.62,260033372067.0,0.8027612127881605
USDT,Tether,0.999768,184173475287.0,0.007220622429113966
BNB,BNB,644.23,87668577958.0,1.9391142822810181
XRP,XRP,1.41,86238091947.0,0.1375109163053501
USDC,USDC,0.999812,78670578081.0,-0.009159795387616729
SOL,Solana,91.36,52256892841.0,1.555713792783612
TRX,TRON,0.310727,29433452112.0,0.3792615210609832
FIGR_HELOC,Figure Heloc,1.033,16695311202.0,0.3883111447727343
DOGE,Dogecoin,0.095874,14718265230.0,2.4239399799221113
