asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend
BTC,BTCUSDT,70953.18,70182.17,72026.09,68923.07,1.099,65.42368402395063,偏强震荡
ETH,ETHUSDT,2163.27,2144.33,2199.02,2103.02,0.883,62.760416666666664,区间震荡
