id,symbol,name,start_price_usd,end_price_usd,monthly_change_pct
bitcoin,btc,Bitcoin,88587.34898899503,78078.5454430695,-11.862645926148009
ethereum,eth,Ethereum,2997.753674620365,2417.5518942824906,-19.354551551382926
tether,usdt,Tether,0.9988125703635481,0.998807438921899,-0.0005137542118838212
binancecoin,bnb,BNB,862.684895672101,773.072893272712,-10.387570577502004
ripple,xrp,XRP,1.8735760558901473,1.6112016204608541,-14.003938329828703
usd-coin,usdc,USDC,0.9998640449319361,0.9996579611131536,-0.02061118407318263
solana,sol,Solana,125.89677496610408,103.90363130000614,-17.469187492705252
tron,trx,TRON,0.28583051229590023,0.2853326785438809,-0.17417096167254842
figure-heloc,figr_heloc,Figure Heloc,1.0192229,1.0,-1.8860349389716369
dogecoin,doge,Dogecoin,0.12656054382473658,0.10218579107295145,-19.25936157918201
