date,funding_rate,instId
2026-02-01,6.47789297829e-05,BTC-USDT-SWAP
2026-02-01,-1.55078551259e-05,BTC-USDT-SWAP
2026-02-01,-6.6945274943e-06,BTC-USDT-SWAP
2026-02-02,-7.39506326831e-05,BTC-USDT-SWAP
2026-02-02,5.96925098258e-05,BTC-USDT-SWAP
2026-02-02,8.78095097359e-05,BTC-USDT-SWAP
2026-02-03,6.5969563054e-06,BTC-USDT-SWAP
2026-02-03,-3.347666376e-07,BTC-USDT-SWAP
2026-02-03,-4.68841739388e-05,BTC-USDT-SWAP
2026-02-04,5.9374777323e-05,BTC-USDT-SWAP
2026-02-04,3.97239665777e-05,BTC-USDT-SWAP
2026-02-04,3.27909454738e-05,BTC-USDT-SWAP
2026-02-05,1.27569790646e-05,BTC-USDT-SWAP
2026-02-05,3.01599118301e-05,BTC-USDT-SWAP
2026-02-05,8.18857149218e-05,BTC-USDT-SWAP
2026-02-06,-6.87134656322e-05,BTC-USDT-SWAP
2026-02-06,-6.8407289022e-06,BTC-USDT-SWAP
2026-02-06,0.0001,BTC-USDT-SWAP
2026-02-07,8.61133048323e-05,BTC-USDT-SWAP
2026-02-07,5.53394591617e-05,BTC-USDT-SWAP
2026-02-07,-6.12733148768e-05,BTC-USDT-SWAP
2026-02-08,-3.75322134276e-05,BTC-USDT-SWAP
2026-02-08,1.60704088961e-05,BTC-USDT-SWAP
2026-02-08,3.08067996977e-05,BTC-USDT-SWAP
2026-02-09,5.03922037352e-05,BTC-USDT-SWAP
2026-02-09,5.12711814493e-05,BTC-USDT-SWAP
2026-02-09,6.83234277534e-05,BTC-USDT-SWAP
2026-02-10,-3.3093793619e-05,BTC-USDT-SWAP
2026-02-10,5.64627836126e-05,BTC-USDT-SWAP
2026-02-10,1.39541728666e-05,BTC-USDT-SWAP
2026-02-11,2.7571231793e-05,BTC-USDT-SWAP
2026-02-11,6.26740645226e-05,BTC-USDT-SWAP
2026-02-11,6.54716061393e-05,BTC-USDT-SWAP
2026-02-12,4.25188287004e-05,BTC-USDT-SWAP
2026-02-12,7.34261249528e-05,BTC-USDT-SWAP
2026-02-12,1.1607619834e-05,BTC-USDT-SWAP
2026-02-13,1.84009491766e-05,BTC-USDT-SWAP
2026-02-13,0.0001,BTC-USDT-SWAP
2026-02-13,6.49474169246e-05,BTC-USDT-SWAP
2026-02-14,4.86341703692e-05,BTC-USDT-SWAP
2026-02-14,-6.6511183633e-06,BTC-USDT-SWAP
2026-02-14,3.02084345609e-05,BTC-USDT-SWAP
2026-02-15,8.4825894128e-06,BTC-USDT-SWAP
2026-02-15,1.85950909647e-05,BTC-USDT-SWAP
2026-02-15,6.71396939898e-05,BTC-USDT-SWAP
2026-02-16,2.48895261036e-05,BTC-USDT-SWAP
2026-02-16,6.40047502396e-05,BTC-USDT-SWAP
2026-02-16,2.68616298283e-05,BTC-USDT-SWAP
2026-02-17,3.78394238062e-05,BTC-USDT-SWAP
2026-02-17,5.36110553136e-05,BTC-USDT-SWAP
2026-02-17,9.2396052219e-06,BTC-USDT-SWAP
2026-02-18,6.22506821764e-05,BTC-USDT-SWAP
2026-02-18,-1.18184703931e-05,BTC-USDT-SWAP
2026-02-18,1.11626616908e-05,BTC-USDT-SWAP
2026-02-19,3.12908878179e-05,BTC-USDT-SWAP
2026-02-19,1.10370634994e-05,BTC-USDT-SWAP
2026-02-19,3.58972331016e-05,BTC-USDT-SWAP
2026-02-20,7.22330478366e-05,BTC-USDT-SWAP
2026-02-20,5.99227465627e-05,BTC-USDT-SWAP
2026-02-20,3.96991534163e-05,BTC-USDT-SWAP
2026-02-21,4.31501597423e-05,BTC-USDT-SWAP
2026-02-21,8.86683896573e-05,BTC-USDT-SWAP
2026-02-21,8.84810754494e-05,BTC-USDT-SWAP
2026-02-22,8.15649535124e-05,BTC-USDT-SWAP
2026-02-22,5.72325079269e-05,BTC-USDT-SWAP
2026-02-22,7.86658182692e-05,BTC-USDT-SWAP
2026-02-23,1.9090589435e-05,BTC-USDT-SWAP
2026-02-23,-9.15586192191e-05,BTC-USDT-SWAP
2026-02-23,3.94623008752e-05,BTC-USDT-SWAP
2026-02-24,-1.03595341626e-05,BTC-USDT-SWAP
2026-02-24,-1.3935018196e-06,BTC-USDT-SWAP
2026-02-24,5.46758584873e-05,BTC-USDT-SWAP
2026-02-25,-1.06431653478e-05,BTC-USDT-SWAP
2026-02-25,5.4711984407e-06,BTC-USDT-SWAP
2026-02-25,-1.4672922502e-05,BTC-USDT-SWAP
2026-02-26,3.54682728815e-05,BTC-USDT-SWAP
2026-02-26,0.0001,BTC-USDT-SWAP
2026-02-26,8.57810508043e-05,BTC-USDT-SWAP
2026-02-27,3.09735619967e-05,BTC-USDT-SWAP
2026-02-27,4.11258138161e-05,BTC-USDT-SWAP
2026-02-27,3.03456202393e-05,BTC-USDT-SWAP
2026-02-28,1.07978043111e-05,BTC-USDT-SWAP
2026-02-28,8.09504083727e-05,BTC-USDT-SWAP
