date,funding_rate,instId
2026-02-01,-6.9205442615e-05,ETH-USDT-SWAP
2026-02-01,1.46194928588e-05,ETH-USDT-SWAP
2026-02-01,-0.0001309933390861,ETH-USDT-SWAP
2026-02-02,-0.0001040224150109,ETH-USDT-SWAP
2026-02-02,-2.5771550221e-05,ETH-USDT-SWAP
2026-02-02,-5.11750072115e-05,ETH-USDT-SWAP
2026-02-03,-6.0439645448e-06,ETH-USDT-SWAP
2026-02-03,-3.6822228727e-06,ETH-USDT-SWAP
2026-02-03,-0.000112392405679,ETH-USDT-SWAP
2026-02-04,1.25061902259e-05,ETH-USDT-SWAP
2026-02-04,-2.22577620541e-05,ETH-USDT-SWAP
2026-02-04,-1.96303691619e-05,ETH-USDT-SWAP
2026-02-05,-3.5711454995e-06,ETH-USDT-SWAP
2026-02-05,1.73361263874e-05,ETH-USDT-SWAP
2026-02-05,3.69293413675e-05,ETH-USDT-SWAP
2026-02-06,8.2168161622e-06,ETH-USDT-SWAP
2026-02-06,6.3156561934e-05,ETH-USDT-SWAP
2026-02-06,-4.64031979814e-05,ETH-USDT-SWAP
2026-02-07,2.87552774809e-05,ETH-USDT-SWAP
2026-02-07,-9.602718699e-07,ETH-USDT-SWAP
2026-02-07,6.67177282498e-05,ETH-USDT-SWAP
2026-02-08,-5.88945837361e-05,ETH-USDT-SWAP
2026-02-08,5.72233647673e-05,ETH-USDT-SWAP
2026-02-08,3.22552775996e-05,ETH-USDT-SWAP
2026-02-09,6.41128254918e-05,ETH-USDT-SWAP
2026-02-09,7.40384432864e-05,ETH-USDT-SWAP
2026-02-09,2.91407856569e-05,ETH-USDT-SWAP
2026-02-10,3.45133985883e-05,ETH-USDT-SWAP
2026-02-10,0.0001,ETH-USDT-SWAP
2026-02-10,0.0001,ETH-USDT-SWAP
2026-02-11,-7.65373650243e-05,ETH-USDT-SWAP
2026-02-11,3.89164133312e-05,ETH-USDT-SWAP
2026-02-11,7.1695094265e-05,ETH-USDT-SWAP
2026-02-12,1.09400946029e-05,ETH-USDT-SWAP
2026-02-12,3.16300101543e-05,ETH-USDT-SWAP
2026-02-12,-1.68734205817e-05,ETH-USDT-SWAP
2026-02-13,2.85398053062e-05,ETH-USDT-SWAP
2026-02-13,6.8383811507e-05,ETH-USDT-SWAP
2026-02-13,4.3521669064e-05,ETH-USDT-SWAP
2026-02-14,5.89048586996e-05,ETH-USDT-SWAP
2026-02-14,4.05703292734e-05,ETH-USDT-SWAP
2026-02-14,4.38546612394e-05,ETH-USDT-SWAP
2026-02-15,6.302684742e-06,ETH-USDT-SWAP
2026-02-15,9.4305488224e-05,ETH-USDT-SWAP
2026-02-15,9.53551528946e-05,ETH-USDT-SWAP
2026-02-16,2.3280956486e-06,ETH-USDT-SWAP
2026-02-16,-1.073492157e-06,ETH-USDT-SWAP
2026-02-16,-4.51367174031e-05,ETH-USDT-SWAP
2026-02-17,-6.4337765329e-06,ETH-USDT-SWAP
2026-02-17,-1.34242445731e-05,ETH-USDT-SWAP
2026-02-17,1.54718926516e-05,ETH-USDT-SWAP
2026-02-18,4.37809743075e-05,ETH-USDT-SWAP
2026-02-18,-6.61932253133e-05,ETH-USDT-SWAP
2026-02-18,4.39154662306e-05,ETH-USDT-SWAP
2026-02-19,1.60095095633e-05,ETH-USDT-SWAP
2026-02-19,-4.9178423258e-05,ETH-USDT-SWAP
2026-02-19,-5.062369592e-05,ETH-USDT-SWAP
2026-02-20,2.3719604925e-06,ETH-USDT-SWAP
2026-02-20,-4.4739301449e-06,ETH-USDT-SWAP
2026-02-20,-2.11175674084e-05,ETH-USDT-SWAP
2026-02-21,2.86323365229e-05,ETH-USDT-SWAP
2026-02-21,2.98630668791e-05,ETH-USDT-SWAP
2026-02-21,2.6898841377e-06,ETH-USDT-SWAP
2026-02-22,2.62993184547e-05,ETH-USDT-SWAP
2026-02-22,3.84508583618e-05,ETH-USDT-SWAP
2026-02-22,2.74057211745e-05,ETH-USDT-SWAP
2026-02-23,2.28402464704e-05,ETH-USDT-SWAP
2026-02-23,-0.0002221949949917,ETH-USDT-SWAP
2026-02-23,-4.55146223121e-05,ETH-USDT-SWAP
2026-02-24,-6.26993569965e-05,ETH-USDT-SWAP
2026-02-24,-2.64650650637e-05,ETH-USDT-SWAP
2026-02-24,5.58180055213e-05,ETH-USDT-SWAP
2026-02-25,-9.488122856e-06,ETH-USDT-SWAP
2026-02-25,5.91834040371e-05,ETH-USDT-SWAP
2026-02-25,-3.94389225597e-05,ETH-USDT-SWAP
2026-02-26,0.0001,ETH-USDT-SWAP
2026-02-26,0.0001,ETH-USDT-SWAP
2026-02-26,0.0001,ETH-USDT-SWAP
2026-02-27,1.41716472467e-05,ETH-USDT-SWAP
2026-02-27,5.50096551516e-05,ETH-USDT-SWAP
2026-02-27,-5.6295529232e-06,ETH-USDT-SWAP
2026-02-28,-5.6478398396e-06,ETH-USDT-SWAP
2026-02-28,1.2435280334e-05,ETH-USDT-SWAP
