asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend
BTC,BTCUSDT,77682.29,78233.84,78479.37,77264.08,-0.705,34.41236248138255,区间震荡
ETH,ETHUSDT,2313.56,2328.45,2331.85,2301.61,-0.639,39.51719576719545,区间震荡
