symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,77681.0,1555063818649.0,-0.7230305396071189
ETH,Ethereum,2313.81,279220194046.0,-0.6503143532327056
USDT,Tether,1.0,189689702718.0,0.0037043913571606587
XRP,XRP,1.43,88269247305.0,-0.4988782325313625
BNB,BNB,634.66,85545988208.0,-0.5252307333888201
USDC,USDC,0.999809,77736589497.0,0.002937229284977962
SOL,Solana,86.36,49729193539.0,0.2320191541616214
TRX,TRON,0.322857,30599169536.0,-1.5227381090059495
FIGR_HELOC,Figure Heloc,1.026,17499704214.0,-0.5454409524048701
DOGE,Dogecoin,0.097999,15090187111.0,-0.23249349781902834
