rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,37112716663.98107,-32.0427949,6166806255.06473,30945910408.91634
2,Coinbase Exchange,coinbase-exchange,1350913577.6151235,-22.96978562,1350913577.6151235,0.0
3,Upbit,upbit,1491298837.2208364,20.00632346,1491298837.2208364,0.0
6,OKX,okx,13455729768.221485,-37.73543357,1049998785.2292128,12405730982.992273
7,Bybit,bybit,11117161814.715532,-32.62757996,2025639015.6709406,9091522799.044592
8,Bitget,bitget,5957979002.633745,-37.37513498,713758832.545762,5244220170.087983
9,Gate,gate,7617000627.740844,-42.26320907,918035142.1354939,6698965485.6053505
10,KuCoin,kucoin,3072159870.674689,-25.7672476,1190082798.5861897,1882077072.0884993
14,MEXC,mexc,14649604227.31458,-26.01752601,761625709.2868193,13887978518.027761
24,HTX,htx,2559705967.5872293,-41.37719632,1259311749.1053982,1300394218.481831
