source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.009965,3.6372250000000004,500000.0,VIP0,daily,2026-07-18T12:03:17.762511+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-07-18T12:03:18.769472+00:00
Backpack,USDT,0.010988029922924745,4.0106309218675325,50000000.0,Public,annual,2026-07-18T12:03:20.618863+00:00
Binance,USDC,0.01159,4.2303500000000005,500000.0,VIP0,daily,2026-07-18T12:03:17.762662+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-07-18T12:03:18.769509+00:00
Backpack,USDC,0.005940274923811595,2.168200347191232,300000000.0,Public,annual,2026-07-18T12:03:20.618924+00:00
Binance,BTC,0.001039,0.37923500000000004,100.0,VIP0,daily,2026-07-18T12:03:17.762967+00:00
OKX,BTC,0.001392,0.50808,175.0,Public,daily,2026-07-18T12:03:18.769775+00:00
Backpack,BTC,0.0012237183748481885,0.44665720681958876,3000.0,Public,annual,2026-07-18T12:03:20.618964+00:00
Binance,ETH,0.006039999999999999,2.2046,2000.0,VIP0,daily,2026-07-18T12:03:17.763015+00:00
OKX,ETH,0.004128,1.5067199999999998,7000.0,Public,daily,2026-07-18T12:03:18.769791+00:00
Backpack,ETH,0.0016037262401071793,0.5853600776391205,20000.0,Public,annual,2026-07-18T12:03:20.618976+00:00
