rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,43257642664.65522,-26.8899958,4681495052.213459,38576147612.44176
2,Coinbase Exchange,coinbase-exchange,965186223.4345667,-2.93829701,965186223.4345667,0.0
3,Upbit,upbit,536188059.4834475,19.48186366,536188059.4834475,0.0
6,OKX,okx,15823999039.744957,-31.1054312,731204095.539638,15092794944.205318
7,Bybit,bybit,8909920853.545963,-30.17191608,974990119.5539479,7934930733.992015
8,Bitget,bitget,5693558390.425615,-30.26686059,380520200.6446511,5313038189.780964
10,Gate,gate,7485558473.061376,-34.98961476,816803003.5106497,6668755469.550726
12,KuCoin,kucoin,2084520213.9179702,-14.70494938,662972683.5513577,1421547530.3666124
16,MEXC,mexc,10284637124.928946,-19.88593724,949682062.4554547,9334955062.47349
22,HTX,htx,1986229774.197051,-30.0612728,886835342.7365389,1099394431.4605122
