asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend
BTC,BTCUSDT,79302.79,80546.08,80592.65,78754.65,-1.544,29.82263329706199,偏弱震荡
ETH,ETHUSDT,2254.0,2304.41,2307.54,2234.13,-2.188,27.06715706307033,偏弱，下行主导
