source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.009218,3.36457,100000.0,VIP0,daily,2026-05-14T12:03:05.803014+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-05-14T12:03:06.287235+00:00
Bybit,USDT,0.009217675199999999,3.3644514479999996,8000000.0,No VIP,hourly,2026-05-14T12:03:07.305662+00:00
Backpack,USDT,0.013357443515139858,4.875466883026048,50000000.0,Public,annual,2026-05-14T12:03:07.752979+00:00
Binance,USDC,0.008882,3.24193,100000.0,VIP0,daily,2026-05-14T12:03:05.803229+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-05-14T12:03:06.287283+00:00
Bybit,USDC,0.0081123768,2.9610175319999996,3500000.0,No VIP,hourly,2026-05-14T12:03:07.305697+00:00
Backpack,USDC,0.005907746050269651,2.1563273083484225,300000000.0,Public,annual,2026-05-14T12:03:07.753012+00:00
Bybit,USDE,0.013699101599999998,5.000172083999999,1013200.0,No VIP,hourly,2026-05-14T12:03:07.305831+00:00
Binance,BTC,0.00112,0.40879999999999994,60.0,VIP0,daily,2026-05-14T12:03:05.803702+00:00
OKX,BTC,0.001392,0.50808,175.0,Public,daily,2026-05-14T12:03:06.287604+00:00
Bybit,BTC,0.001120032,0.40881167999999996,300.0,No VIP,hourly,2026-05-14T12:03:07.305840+00:00
Backpack,BTC,0.001643609151818886,0.5999173404138934,3000.0,Public,annual,2026-05-14T12:03:07.753046+00:00
Binance,ETH,0.006029,2.2005850000000002,400.0,VIP0,daily,2026-05-14T12:03:05.803781+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-05-14T12:03:06.287619+00:00
Bybit,ETH,0.005941797600000001,2.168756124,2000.0,No VIP,hourly,2026-05-14T12:03:07.305849+00:00
Backpack,ETH,0.002496577168766636,0.9112506665998221,20000.0,Public,annual,2026-05-14T12:03:07.753059+00:00
