rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,61870429993.52458,9.98409604,8797634747.147728,53072795246.376854
2,Coinbase Exchange,coinbase-exchange,1647957494.3308406,15.56899524,1647957494.3308406,0.0
3,Upbit,upbit,1078018117.5955124,14.41438079,1078018117.5955124,0.0
6,OKX,okx,23440011751.708855,8.21065196,1874460628.0913692,21565551123.617485
7,Bybit,bybit,15427514655.385952,17.64794649,2247683653.2614846,13179831002.124466
8,Bitget,bitget,9956912663.911701,12.6657766,973453042.6504527,8983459621.26125
9,Gate,gate,14596372918.513748,19.39068821,1597156838.8162117,12999216079.697536
10,KuCoin,kucoin,3676000258.123982,10.73835707,1622175558.6642153,2053824699.4597666
14,MEXC,mexc,16407300671.470655,-18.95004973,1048252959.7197456,15359047711.75091
21,HTX,htx,4510573904.929122,19.51908788,1306580053.6536872,3203993851.2754345
