exchange,asset,spot_price_usd,mark_price_usd,index_price_usd,basis_pct,funding_rate_pct,funding_interval_hours,annual_funding_pct,open_interest_contracts,quote_ccy
Binance,BTC,79298.14,79267.71888406,79290.36456522,-0.02856044524978851,-8.7e-05,8.0,-0.095265,104082.297,USDT
Binance,ETH,2253.74,2252.82175194,2253.70697674,-0.03927861115646522,0.00101,8.0,1.10595,2216943.193,USDT
OKX,BTC,79293.1,79267.9,,,0.006518594813679999,8.0,7.137861320979599,33929.85240000016,USDT
OKX,ETH,2253.9,2252.87,,,0.00320108018915,8.0,3.50518280711925,826126.9390000022,USDT
