asset,protocol,chain,total_apy_pct,base_apy_pct,rewards_apy_pct,tvl_usd,source
SUSDS,sky-lending,Ethereum,3.65,3.65,,5922508193.0,DefiLlama API
USDC,maple,Ethereum,4.87022,4.87022,0.0,3356984682.0,DefiLlama API
USYC,circle-usyc,BSC,3.17382,3.17382,,2860934310.0,DefiLlama API
SUSDE,ethena-usde,Ethereum,3.87269,3.87269,,1841850264.0,DefiLlama API
BUIDL,blackrock-buidl,Ethereum,3.52271,3.52271,,1071932791.0,DefiLlama API
USDT,maple,Ethereum,4.47408,4.47408,0.0,892811656.0,DefiLlama API
USTB,superstate-ustb,Ethereum,3.51955,3.51955,,878824600.0,DefiLlama API
USDY,ondo-yield-assets,Ethereum,3.55,3.55,,741148852.0,DefiLlama API
BUIDL,blackrock-buidl,Aptos,3.18176,3.18176,,559080277.0,DefiLlama API
BUIDL,blackrock-buidl,BSC,3.18176,3.18176,,509385907.0,DefiLlama API
BUSD0,usual-usd0,Ethereum,3.48408,,3.48408,507659318.0,DefiLlama API
STEAKUSDC,morpho-blue,Base,4.9375,4.9375,0.0,467423474.0,DefiLlama API
USDC,jupiter-lend,Solana,4.85521,3.77948,1.07573,451668931.0,DefiLlama API
SUSDS,sky-lending,Arbitrum,3.65,3.65,,358428334.0,DefiLlama API
GTUSDCP,morpho-blue,Base,4.94199,4.94199,0.0,352185170.0,DefiLlama API
USDD,justlend,Tron,3.94754,0.00053,3.94702,299234402.0,DefiLlama API
SUSDAI,usd-ai,Arbitrum,7.22,7.22,,283575501.0,DefiLlama API
BUIDL,blackrock-buidl,Solana,3.49173,3.49173,,279706481.0,DefiLlama API
SENPYUSD,morpho-blue,Ethereum,2.54171,2.54171,0.0,277503770.0,DefiLlama API
SENPYUSDMAIN,morpho-blue,Ethereum,4.68346,1.5378,3.14566,277503767.0,DefiLlama API
USDY,ondo-yield-assets,Sei,3.55,3.55,,263071447.0,DefiLlama API
USDYC,ondo-yield-assets,Ethereum,3.55,3.55,,251018035.0,DefiLlama API
SDAI,sky-lending,Ethereum,1.25,1.25,,238839350.0,DefiLlama API
BUIDL,blackrock-buidl,Avalanche,3.49173,3.49173,,203589207.0,DefiLlama API
SENRLUSD,morpho-blue,Ethereum,1.6819,1.6819,0.0,198048525.0,DefiLlama API
SENRLUSDV2,morpho-blue,Ethereum,5.07071,1.69975,3.37096,198048523.0,DefiLlama API
USDC,fluid-lending,Ethereum,4.59,3.54,1.05,195402434.0,DefiLlama API
USDY,ondo-yield-assets,Solana,3.55,3.55,,180586861.0,DefiLlama API
REUSD,re,Ethereum,6.21314,6.21314,,170109103.0,DefiLlama API
APXUSD,apyx-protocol,Ethereum,7.96241,7.96241,,150955552.0,DefiLlama API
GTUSDC,morpho-blue,Ethereum,4.10789,4.10789,0.0,148009198.0,DefiLlama API
USD1,lista-lending,BSC,0.90957,0.90957,0.0,138516605.0,DefiLlama API
USCC,superstate-uscc,Ethereum,3.98773,3.98773,,137941365.0,DefiLlama API
USDT,fluid-lending,Ethereum,3.94,2.43,1.51,135804944.0,DefiLlama API
STEAKUSDC,morpho-blue,Ethereum,3.91389,3.91389,0.0,127442666.0,DefiLlama API
RWAUSDI,multipli.fi,Ethereum,3.888,,,124966061.0,DefiLlama API
USDY,ondo-yield-assets,Stellar,3.55,3.55,,124131683.0,DefiLlama API
STEAKUSDT,morpho-blue,Ethereum,2.49258,2.49258,0.0,120073882.0,DefiLlama API
SKYMONEYUSDTSAVINGS,morpho-blue,Ethereum,2.92606,2.49302,0.43303,119128586.0,DefiLlama API
USYC,circle-usyc,Ethereum,3.17382,3.17382,,117747447.0,DefiLlama API
USDT,justlend,Tron,1.30507,1.30507,0.0,112074158.0,DefiLlama API
RWAUSDI,multipli.fi,Base,3.888,,,110010150.0,DefiLlama API
GTUSDCP,morpho-blue,Ethereum,3.7469,3.7469,0.0,102896420.0,DefiLlama API
STCUSD,cap,Ethereum,4.98777,,,98276528.0,DefiLlama API
STEAKUSDTBETHENA,morpho-blue,Ethereum,5.07034,1.67034,3.4,95215966.0,DefiLlama API
WSRUSD,reservoir-protocol,Ethereum,4.65326,,,94481526.0,DefiLlama API
JUPUSD,jupiter-lend,Solana,5.2065,2.68533,2.52117,94207319.0,DefiLlama API
USDT,venus-core-pool,BSC,1.90986,1.90986,0.0,93847578.0,DefiLlama API
SUSDF,falcon-finance,Ethereum,4.83486,4.83486,,81279116.0,DefiLlama API
TBILL,openeden-tbill,Ethereum,3.26979,3.26979,,78976714.0,DefiLlama API
SDAI,sdai,Gnosis,4.3306,4.3306,,75313744.0,DefiLlama API
MSUSD,mainstreet,Ethereum,12.0,12.0,0.0,75127327.0,DefiLlama API
SUSDAT,saturn,Ethereum,9.81974,9.81974,,71733772.0,DefiLlama API
USDCUSDT,fluid-dex,Ethereum,0.32722,0.32722,,70407604.0,DefiLlama API
GTUSDA,gauntlet,Base,4.3625,4.3625,,67628964.0,DefiLlama API
SAVUSD,avant-avusd,Avalanche,7.17625,7.17625,,66936259.0,DefiLlama API
SFRAX,frax,Ethereum,0.67382,0.67382,,65293709.0,DefiLlama API
STUSDT,stusdt,Tron,3.57001,,,62927216.0,DefiLlama API
PYUSD,euler-v2,Ethereum,4.71405,1.01405,3.7,60526237.0,DefiLlama API
GTUSDT,morpho-blue,Katana,3.69194,1.95773,1.73422,59840983.0,DefiLlama API
STEAKEURCV,morpho-blue,Ethereum,3.0,3.0,0.0,57261215.0,DefiLlama API
USDC,fluid-lending,Arbitrum,4.65,4.65,,52885625.0,DefiLlama API
SKYMONEYUSDSFLAGSHIP,morpho-blue,Ethereum,4.40539,0.45996,3.94543,52067311.0,DefiLlama API
SRUSDE,strata-markets,Ethereum,3.34917,3.34917,,52029197.0,DefiLlama API
U,lista-lending,BSC,0.62619,0.62619,0.0,51639160.0,DefiLlama API
FXUSDSTABILITYPOOLV20,fx-protocol,Ethereum,6.8,,,49034339.0,DefiLlama API
PLASMAUSD,veda,Plasma,3.08968,2.93414,0.15554,46978771.0,DefiLlama API
USDC,avantis,Base,11.06818,11.06818,,44367585.0,DefiLlama API
