asset,protocol,chain,total_apy_pct,base_apy_pct,rewards_apy_pct,tvl_usd,source
SUSDS,sky-lending,Ethereum,3.65,,,5262581222.0,DefiLlama API
USYC,circle-usyc,BSC,3.13788,3.13788,,2791055013.0,DefiLlama API
USDC,maple,Ethereum,4.89037,4.89037,0.0,2623080853.0,DefiLlama API
SUSDE,ethena-usde,Ethereum,5.13676,5.13676,,2232856522.0,DefiLlama API
USDT,maple,Ethereum,5.00963,5.00963,0.0,1153793280.0,DefiLlama API
BUIDL,blackrock-buidl,Ethereum,3.57074,3.57074,,1119790901.0,DefiLlama API
USTB,superstate-ustb,Ethereum,3.42872,3.42872,,855247673.0,DefiLlama API
USDYC,ondo-yield-assets,Ethereum,3.55,3.55,,808402900.0,DefiLlama API
BUIDL,blackrock-buidl,Aptos,3.22922,3.22922,,559045875.0,DefiLlama API
USDY,ondo-yield-assets,Ethereum,3.55,3.55,,531935177.0,DefiLlama API
BUIDL,blackrock-buidl,BSC,3.22922,3.22922,,508414049.0,DefiLlama API
BUSD0,usual-usd0,Ethereum,3.50592,,3.50592,504128893.0,DefiLlama API
STEAKUSDC,morpho-blue,Base,4.24931,4.24931,0.0,467041515.0,DefiLlama API
USDC,jupiter-lend,Solana,4.59423,3.43761,1.15662,406215076.0,DefiLlama API
SUSDS,sky-lending,Arbitrum,3.65,,,357728222.0,DefiLlama API
GTUSDCP,morpho-blue,Base,4.24925,4.24925,0.0,347146240.0,DefiLlama API
USDD,justlend,Tron,4.25892,0.00107,4.25785,308273827.0,DefiLlama API
SUSDAI,usd-ai,Arbitrum,7.11,7.11,,260683929.0,DefiLlama API
DAI,sky-lending,Ethereum,1.25,,,244016045.0,DefiLlama API
SENPYUSD,morpho-blue,Ethereum,2.71947,2.25196,0.46752,231658701.0,DefiLlama API
SENPYUSDMAIN,morpho-blue,Ethereum,5.77805,1.34778,4.43027,231658678.0,DefiLlama API
BUIDL,blackrock-buidl,Solana,3.54013,3.54013,,231442047.0,DefiLlama API
USDY,ondo-yield-assets,Solana,3.55,3.55,,180202439.0,DefiLlama API
USDC,fluid-lending,Ethereum,5.37,4.15,1.22,171893261.0,DefiLlama API
REUSD,re,Ethereum,6.25616,6.25616,,164051798.0,DefiLlama API
GTUSDC,morpho-blue,Ethereum,4.46172,4.12826,0.33346,150067635.0,DefiLlama API
USDT,justlend,Tron,1.18777,1.18777,0.0,138994366.0,DefiLlama API
USD1,lista-lending,BSC,0.81528,0.81528,0.0,138559349.0,DefiLlama API
USCC,superstate-uscc,Ethereum,4.0985,4.0985,,126419727.0,DefiLlama API
RWAUSDI,multipli.fi,Ethereum,3.888,,,124972573.0,DefiLlama API
USDY,ondo-yield-assets,Stellar,3.55,3.55,,123894630.0,DefiLlama API
STEAKUSDC,morpho-blue,Ethereum,4.356,4.02207,0.33393,122492184.0,DefiLlama API
USDT,fluid-lending,Ethereum,7.57,5.78,1.79,117630478.0,DefiLlama API
BUIDL,blackrock-buidl,Avalanche,3.53967,3.53967,,111337137.0,DefiLlama API
RWAUSDI,multipli.fi,Base,3.888,,,110010150.0,DefiLlama API
USDY,ondo-yield-assets,Sei,3.55,3.55,,109472967.0,DefiLlama API
USYC,circle-usyc,Ethereum,3.13788,3.13788,,109239397.0,DefiLlama API
SKYMONEYUSDTSAVINGS,morpho-blue,Ethereum,5.1767,3.77608,1.40062,106908338.0,DefiLlama API
