currency,instrument,last_price,mark_price,open_interest,current_funding,funding_8h,volume_usd_24h
BTC,BTC-PERPETUAL,78760.5,78752.02,935891050.0,3.35e-05,6.5e-06,167704930.0
ETH,ETH-PERPETUAL,2328.3,2328.19,311867941.0,0.0,0.0,31937242.0
