rank,name,slug,volume30d_usd,pct30d,volume7d_usd,pct7d,spot24h_usd,deriv24h_usd
1,Binance,binance,2040657742828.9558,-27.88914813,1190363858925.4705,5.55274493,3870755044.142008,26304754615.634617
2,Coinbase Exchange,coinbase-exchange,56449907683.119,-45.8422031,9737407669.400248,-14.93173747,612020409.3822875,0.0
3,Upbit,upbit,28680985660.566174,12.79380181,5595907867.196634,-46.62151444,880604815.2626435,0.0
6,OKX,okx,600690355927.8625,-21.21475457,150420391126.71274,0.76664357,916274394.9970087,10903200614.793217
7,Bybit,bybit,237397264232.097,-28.88729766,50944098342.579575,-2.07971775,952684506.1445861,7060103226.661049
8,Bitget,bitget,129339547771.42963,-23.21696713,33734118662.167866,15.56504034,741018490.3530892,4480851816.560047
10,Gate,gate,268948871873.205,-29.89168851,98418014001.46318,7.98577848,835732074.0369444,5707858525.526391
13,KuCoin,kucoin,106798441911.9847,4.04893032,21656895677.64824,35.59405775,1389327312.2120473,2066599804.3824465
16,MEXC,mexc,97770132033.26013,-16.65639445,26904527890.152416,51.76665869,587381793.1644282,11671686815.457552
25,HTX,htx,70523138956.27162,-43.51270722,27339212404.542885,5.37202047,856273559.3839647,1287267707.9045904
