symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,66402.0,1331281911598.0,0.3659204592371626
ETH,Ethereum,1796.28,216944520207.0,1.8918442635773098
USDT,Tether,0.999323,186419893836.0,-0.007642703062100757
BNB,BNB,613.4,82730170125.0,-1.0265301626647811
XRP,XRP,1.24,76753488575.0,0.6699709233244607
USDC,USDC,0.999818,74990879929.0,0.0005292008739022099
SOL,Solana,74.59,43259687078.0,2.8659445828158403
TRX,TRON,0.317173,30083408767.0,-1.0416492336328298
FIGR_HELOC,Figure Heloc,1.027,19330310285.0,1.2701057764126655
HYPE,Hyperliquid,75.31,16754227553.0,11.04801701686357
