source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.00928,3.3872,500000.0,VIP0,daily,2026-06-16T12:05:40.230458+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-06-16T12:05:41.216655+00:00
Backpack,USDT,0.01074418817796225,3.9216286849562216,50000000.0,Public,annual,2026-06-16T12:05:43.019753+00:00
Binance,USDC,0.010006,3.6521900000000005,500000.0,VIP0,daily,2026-06-16T12:05:40.230678+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-06-16T12:05:41.216720+00:00
Backpack,USDC,0.005422497856566621,1.9792117176468167,300000000.0,Public,annual,2026-06-16T12:05:43.019816+00:00
Binance,BTC,0.00107,0.39054999999999995,100.0,VIP0,daily,2026-06-16T12:05:40.231155+00:00
OKX,BTC,0.001392,0.50808,175.0,Public,daily,2026-06-16T12:05:41.217066+00:00
Backpack,BTC,0.0013924218727913442,0.5082339835688406,3000.0,Public,annual,2026-06-16T12:05:43.019882+00:00
Binance,ETH,0.005649,2.061885,2000.0,VIP0,daily,2026-06-16T12:05:40.231230+00:00
OKX,ETH,0.004128,1.5067199999999998,7000.0,Public,daily,2026-06-16T12:05:41.217082+00:00
Backpack,ETH,0.0019176675414993203,0.6999486526472518,20000.0,Public,annual,2026-06-16T12:05:43.019897+00:00
