rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,56410698401.00003,31.10703034,8849697492.537815,47561000908.46222
2,Coinbase Exchange,coinbase-exchange,1423833101.4216137,41.86329551,1423833101.4216137,0.0
3,Upbit,upbit,1043274795.8646581,8.69253454,1043274795.8646581,0.0
6,OKX,okx,23502808204.30147,49.43862942,1857128039.499948,21645680164.80152
8,Bybit,bybit,18351318559.295307,51.85244556,4341310598.326602,14010007960.968704
9,Bitget,bitget,9434010710.466896,33.71272629,853602975.0586259,8580407735.408271
10,Gate,gate,14634032941.385942,56.06769453,1963243609.946519,12670789331.439425
13,KuCoin,kucoin,5124899544.308934,19.46814767,2051969582.2171462,3072929962.091788
15,MEXC,mexc,16915504879.396828,56.16223368,1068149367.6346083,15847355511.762218
24,HTX,htx,4142984119.401508,45.07798507,1454415539.3958251,2688568580.0056825
