source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.008208,2.99592,100000.0,VIP0,daily,2026-04-20T12:01:11.577223+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-04-20T12:01:12.017625+00:00
Bybit,USDT,0.008208,2.99592,8000000.0,No VIP,hourly,2026-04-20T12:01:12.668873+00:00
Backpack,USDT,0.013283160988635113,4.848353760851817,50000000.0,Public,annual,2026-04-20T12:01:13.133898+00:00
Binance,USDC,0.007012999999999999,2.559745,100000.0,VIP0,daily,2026-04-20T12:01:11.577312+00:00
OKX,USDC,0.0068639999999999994,2.50536,1000000.0,Public,daily,2026-04-20T12:01:12.017661+00:00
Bybit,USDC,0.0072074376,2.630714724,3500000.0,No VIP,hourly,2026-04-20T12:01:12.668886+00:00
Backpack,USDC,0.004531339594484505,1.6539389519868442,300000000.0,Public,annual,2026-04-20T12:01:13.133931+00:00
Bybit,USDE,0.013699099200000002,5.000171208000001,1013200.0,No VIP,hourly,2026-04-20T12:01:12.668941+00:00
Binance,BTC,0.001167,0.425955,60.0,VIP0,daily,2026-04-20T12:01:11.577481+00:00
OKX,BTC,0.00276,1.0074,175.0,Public,daily,2026-04-20T12:01:12.017899+00:00
Bybit,BTC,0.0011668248,0.425891052,300.0,No VIP,hourly,2026-04-20T12:01:12.668945+00:00
Backpack,BTC,0.00044350416525789835,0.1618790203191329,3000.0,Public,annual,2026-04-20T12:01:13.133971+00:00
Binance,ETH,0.006078,2.21847,400.0,VIP0,daily,2026-04-20T12:01:11.577508+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-04-20T12:01:12.017909+00:00
Bybit,ETH,0.0060782784,2.218571616,2000.0,No VIP,hourly,2026-04-20T12:01:12.668948+00:00
Backpack,ETH,0.003339682263152752,1.2189840260507543,20000.0,Public,annual,2026-04-20T12:01:13.133986+00:00
