asset,symbol,timestamp_utc,open_usd,high_usd,low_usd,close_usd
BTC,BTCUSDT,2026-04-19T14:00:00+00:00,75921.75,76147.01,75674.55,76024.01
BTC,BTCUSDT,2026-04-19T15:00:00+00:00,76024.02,76155.3,75401.44,75846.63
BTC,BTCUSDT,2026-04-19T16:00:00+00:00,75846.63,75853.26,75311.11,75382.86
BTC,BTCUSDT,2026-04-19T17:00:00+00:00,75382.87,75382.87,74638.31,74791.26
BTC,BTCUSDT,2026-04-19T18:00:00+00:00,74791.27,74908.62,74608.0,74770.11
BTC,BTCUSDT,2026-04-19T19:00:00+00:00,74770.11,75071.61,74770.11,74965.47
BTC,BTCUSDT,2026-04-19T20:00:00+00:00,74965.46,74965.47,74427.53,74630.0
BTC,BTCUSDT,2026-04-19T21:00:00+00:00,74630.01,74810.0,74368.6,74425.15
BTC,BTCUSDT,2026-04-19T22:00:00+00:00,74425.16,74425.16,73762.9,74047.34
BTC,BTCUSDT,2026-04-19T23:00:00+00:00,74047.34,74054.22,73790.0,73801.79
BTC,BTCUSDT,2026-04-20T00:00:00+00:00,73801.8,74360.43,73724.31,74280.01
BTC,BTCUSDT,2026-04-20T01:00:00+00:00,74280.01,74746.93,74214.67,74595.13
BTC,BTCUSDT,2026-04-20T02:00:00+00:00,74595.12,74627.99,74304.84,74410.01
BTC,BTCUSDT,2026-04-20T03:00:00+00:00,74410.01,74640.65,74359.04,74634.0
BTC,BTCUSDT,2026-04-20T04:00:00+00:00,74634.01,74637.43,74435.19,74567.64
BTC,BTCUSDT,2026-04-20T05:00:00+00:00,74567.63,74567.63,74095.18,74264.15
BTC,BTCUSDT,2026-04-20T06:00:00+00:00,74264.16,74894.11,74250.0,74786.59
BTC,BTCUSDT,2026-04-20T07:00:00+00:00,74786.59,75572.0,74670.86,74837.17
BTC,BTCUSDT,2026-04-20T08:00:00+00:00,74837.18,74998.83,74619.41,74728.91
BTC,BTCUSDT,2026-04-20T09:00:00+00:00,74728.92,75233.0,74706.87,75062.77
BTC,BTCUSDT,2026-04-20T10:00:00+00:00,75062.77,75404.63,75003.63,75027.26
BTC,BTCUSDT,2026-04-20T11:00:00+00:00,75027.26,75287.88,74957.51,75192.71
BTC,BTCUSDT,2026-04-20T12:00:00+00:00,75192.72,75192.72,75120.06,75120.07
ETH,ETHUSDT,2026-04-19T14:00:00+00:00,2338.67,2343.12,2327.35,2338.09
ETH,ETHUSDT,2026-04-19T15:00:00+00:00,2338.09,2341.49,2315.29,2330.8
ETH,ETHUSDT,2026-04-19T16:00:00+00:00,2330.8,2331.34,2304.7,2311.68
ETH,ETHUSDT,2026-04-19T17:00:00+00:00,2311.68,2317.81,2294.5,2296.59
ETH,ETHUSDT,2026-04-19T18:00:00+00:00,2296.58,2301.25,2287.62,2295.78
ETH,ETHUSDT,2026-04-19T19:00:00+00:00,2295.78,2304.78,2294.42,2299.65
ETH,ETHUSDT,2026-04-19T20:00:00+00:00,2299.66,2300.0,2273.51,2280.61
ETH,ETHUSDT,2026-04-19T21:00:00+00:00,2280.61,2290.34,2274.98,2276.09
ETH,ETHUSDT,2026-04-19T22:00:00+00:00,2276.08,2276.08,2252.72,2269.79
ETH,ETHUSDT,2026-04-19T23:00:00+00:00,2269.78,2270.4,2256.33,2263.27
ETH,ETHUSDT,2026-04-20T00:00:00+00:00,2263.28,2283.14,2259.67,2280.01
ETH,ETHUSDT,2026-04-20T01:00:00+00:00,2280.02,2294.3,2278.2,2286.17
ETH,ETHUSDT,2026-04-20T02:00:00+00:00,2286.16,2287.63,2272.25,2277.43
ETH,ETHUSDT,2026-04-20T03:00:00+00:00,2277.43,2288.58,2276.08,2286.56
ETH,ETHUSDT,2026-04-20T04:00:00+00:00,2286.55,2286.55,2278.84,2283.39
ETH,ETHUSDT,2026-04-20T05:00:00+00:00,2283.39,2283.39,2263.18,2270.21
ETH,ETHUSDT,2026-04-20T06:00:00+00:00,2270.21,2289.0,2268.78,2286.17
ETH,ETHUSDT,2026-04-20T07:00:00+00:00,2286.17,2332.88,2283.02,2298.8
ETH,ETHUSDT,2026-04-20T08:00:00+00:00,2298.81,2308.65,2289.82,2294.09
ETH,ETHUSDT,2026-04-20T09:00:00+00:00,2294.08,2313.64,2293.3,2309.06
ETH,ETHUSDT,2026-04-20T10:00:00+00:00,2309.06,2320.0,2303.23,2303.39
ETH,ETHUSDT,2026-04-20T11:00:00+00:00,2303.39,2312.33,2300.0,2308.42
ETH,ETHUSDT,2026-04-20T12:00:00+00:00,2308.42,2308.43,2305.52,2305.53
