exchange,asset,spot_price_usd,mark_price_usd,index_price_usd,basis_pct,funding_rate_pct,funding_interval_hours,annual_funding_pct,open_interest_contracts,quote_ccy
Binance,BTC,75120.06,75086.54171739,75130.28934783,-0.058229018974559975,-0.002242,8.0,-2.45499,94744.724,USDT
Binance,ETH,2305.53,2304.30126357,2305.76302326,-0.06339592036362321,-0.004555,8.0,-4.987725,2164608.367,USDT
OKX,BTC,75125.0,75084.4,,,-0.00141047005923,8.0,-1.54446471485685,34305.43460000033,USDT
OKX,ETH,2305.13,2303.88,,,-0.00242201789489,8.0,-2.65210959490455,658414.6610000017,USDT
