source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.00833,3.04045,100000.0,VIP0,daily,2026-04-29T12:45:00.855750+00:00
OKX,USDT,0.0068639999999999994,2.50536,5000000.0,Public,daily,2026-04-29T12:45:02.373450+00:00
Backpack,USDT,0.008077279137111067,2.9482068850455394,50000000.0,Public,annual,2026-04-29T12:45:04.942791+00:00
Binance,USDC,0.007948,2.9010200000000004,100000.0,VIP0,daily,2026-04-29T12:45:00.856017+00:00
OKX,USDC,0.00276,1.0074,1000000.0,Public,daily,2026-04-29T12:45:02.373507+00:00
Backpack,USDC,0.005254987471733406,1.9180704271826932,300000000.0,Public,annual,2026-04-29T12:45:04.942866+00:00
Binance,BTC,0.001158,0.42267,60.0,VIP0,daily,2026-04-29T12:45:00.856528+00:00
OKX,BTC,0.00276,1.0074,175.0,Public,daily,2026-04-29T12:45:02.373727+00:00
Backpack,BTC,0.0010248316543098998,0.3740635538231134,3000.0,Public,annual,2026-04-29T12:45:04.942928+00:00
Binance,ETH,0.007215000000000001,2.6334750000000002,400.0,VIP0,daily,2026-04-29T12:45:00.856605+00:00
OKX,ETH,0.005496,2.00604,7000.0,Public,daily,2026-04-29T12:45:02.373750+00:00
Backpack,ETH,0.0044563080824231455,1.6265524500844482,20000.0,Public,annual,2026-04-29T12:45:04.942947+00:00
