asset,provider,apy_pct,source
DAI,EarnPark,7.0,Bitcompare
PYUSD,Euler Finance,6.48,Bitcompare
TUSD,JustLend,1.38,Bitcompare
USDC,EarnPark,4.0,Bitcompare
USDE,Pendle,5.44,Bitcompare
USDP,Nexo,10.5,Bitcompare
USDT,EarnPark,20.0,Bitcompare
