rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,50370940755.062744,3.76422078,8326996256.330322,42043944498.73242
2,Coinbase Exchange,coinbase-exchange,1487007110.8044238,-2.37514896,1487007110.8044238,0.0
3,Upbit,upbit,1067025235.1293029,-21.06721887,1067025235.1293029,0.0
6,OKX,okx,21048776626.58846,7.28911296,1496052547.4478216,19552724079.140636
7,Bybit,bybit,13735801533.629482,-2.06604003,1923304245.3370726,11812497288.29241
8,Bitget,bitget,8298661692.389277,-4.70755285,861954362.7803305,7436707329.608947
9,Gate,gate,12699767840.035921,2.07311534,1437366642.2989562,11262401197.736963
10,KuCoin,kucoin,3701674546.4518123,5.55215621,1384074518.5638452,2317600027.887967
14,MEXC,mexc,18707337341.8716,16.78789258,1010094195.0969125,17697243146.77469
22,HTX,htx,3375348687.888444,-5.10027194,1112190298.9269507,2263158388.9614935
