id,symbol,name,start_price_usd,end_price_usd,monthly_change_pct
bitcoin,btc,Bitcoin,88176.56332884166,63942.0,-27.4841323067473
ethereum,eth,Ethereum,2946.088790954358,1861.58,-36.81181620473298
binancecoin,bnb,BNB,897.2127085891921,596.9,-33.4717403926895
ripple,xrp,XRP,1.8790209404482023,1.32,-29.750649841872384
solana,sol,Solana,123.12787392279958,78.87,-35.94464235657068
tron,trx,TRON,0.29430402126016253,0.281734,-4.271100750285287
dogecoin,doge,Dogecoin,0.12185636278732763,0.089785,-26.318989057059618
whitebit,wbt,WhiteBIT Coin,53.90724894410928,47.83,-11.273528260383188
cardano,ada,Cardano,0.34992493177004325,0.266629,-23.80394313394681
bitcoin-cash,bch,Bitcoin Cash,579.0580773492252,447.57,-22.70723481678087
