asset,protocol,chain,total_apy_pct,base_apy_pct,rewards_apy_pct,tvl_usd,source
SUSDS,sky-lending,Ethereum,3.75,,,5800934387.0,DefiLlama API
USYC,circle-usyc,BSC,3.34818,3.34818,,2791075390.0,DefiLlama API
USDC,maple,Ethereum,4.81733,4.81733,0.0,2518949224.0,DefiLlama API
SUSDE,ethena-usde,Ethereum,5.19532,5.19532,,2512094680.0,DefiLlama API
USDT,maple,Ethereum,4.80443,4.80443,0.0,1263882940.0,DefiLlama API
BUIDL,blackrock-buidl,Ethereum,3.55456,3.55456,,1119576389.0,DefiLlama API
USDYC,ondo-yield-assets,Ethereum,3.55,3.55,,808248385.0,DefiLlama API
USTB,superstate-ustb,Ethereum,3.66728,3.66728,,728455890.0,DefiLlama API
BUIDL,blackrock-buidl,Aptos,3.21351,3.21351,,559042268.0,DefiLlama API
USDY,ondo-yield-assets,Ethereum,3.55,3.55,,534145686.0,DefiLlama API
BUIDL,blackrock-buidl,Solana,3.52365,3.52365,,527343006.0,DefiLlama API
BUIDL,blackrock-buidl,BSC,3.21351,3.21351,,508316933.0,DefiLlama API
BUSD0,usual-usd0,Ethereum,3.36773,,3.36773,503810040.0,DefiLlama API
USDC,jupiter-lend,Solana,4.40886,3.28258,1.12628,418895456.0,DefiLlama API
SUSDS,sky-lending,Arbitrum,3.75,,,357660113.0,DefiLlama API
USDD,justlend,Tron,4.20809,0.00109,4.207,308312252.0,DefiLlama API
SUSDAI,usd-ai,Arbitrum,7.11,7.11,,259952698.0,DefiLlama API
DAI,sky-lending,Ethereum,1.25,,,244061135.0,DefiLlama API
USDY,ondo-yield-assets,Solana,3.55,3.55,,180167995.0,DefiLlama API
REUSD,re,Ethereum,6.07541,6.07541,,164770024.0,DefiLlama API
USDC,fluid-lending,Ethereum,6.52,5.19,1.33,162392077.0,DefiLlama API
USDT,justlend,Tron,1.13724,1.13724,0.0,143830651.0,DefiLlama API
USD1,lista-lending,BSC,1.38672,1.38672,0.0,138542093.0,DefiLlama API
USCC,superstate-uscc,Ethereum,3.65062,3.65062,,127603138.0,DefiLlama API
WSRUSD,reservoir-protocol,Ethereum,4.65326,,,126497125.0,DefiLlama API
RWAUSDI,multipli.fi,Ethereum,3.888,,,124981525.0,DefiLlama API
USDY,ondo-yield-assets,Stellar,3.55,3.55,,123870949.0,DefiLlama API
USDT,fluid-lending,Ethereum,11.38,9.5,1.88,114537886.0,DefiLlama API
BUIDL,blackrock-buidl,Avalanche,3.5235,3.5235,,111315992.0,DefiLlama API
USYC,circle-usyc,Ethereum,3.34818,3.34818,,110481994.0,DefiLlama API
RWAUSDI,multipli.fi,Base,3.888,,,110010150.0,DefiLlama API
USDY,ondo-yield-assets,Sei,3.55,3.55,,108908243.0,DefiLlama API
SRUSDE,strata-markets,Ethereum,3.97353,3.97353,,98156681.0,DefiLlama API
STCUSD,cap,Ethereum,5.53258,,,91504713.0,DefiLlama API
SUSDF,falcon-finance,Ethereum,6.5991,6.5991,,86782527.0,DefiLlama API
USDT,venus-core-pool,BSC,2.16089,2.16089,0.0,85066290.0,DefiLlama API
JUPUSD,jupiter-lend,Solana,5.14491,2.62374,2.52117,84770307.0,DefiLlama API
SDAI,sdai,Gnosis,4.52564,,,79365290.0,DefiLlama API
TBILL,openeden-tbill,Ethereum,3.42612,3.42612,,76171762.0,DefiLlama API
PUFETH,puffer-stake,Ethereum,3.23536,3.22176,0.0136,69720052.0,DefiLlama API
U,lista-lending,BSC,0.36865,0.36865,0.0,69335763.0,DefiLlama API
GTUSDA,gauntlet,Base,4.70829,4.70829,,67329665.0,DefiLlama API
SAVUSD,avant-avusd,Avalanche,7.81651,7.81651,,66652537.0,DefiLlama API
APXUSD,apyx-protocol,Ethereum,10.99004,10.99004,,66224453.0,DefiLlama API
STUSDT,stusdt,Tron,3.59582,,,60747630.0,DefiLlama API
USCC,superstate-uscc,Solana,3.65062,3.65062,,59870797.0,DefiLlama API
MSUSD,mainstreet,Ethereum,11.99648,11.99648,0.0,54168049.0,DefiLlama API
PYUSD,euler-v2,Ethereum,7.2285,2.6285,4.6,52558806.0,DefiLlama API
USDC,avantis,Base,11.55136,11.55136,,52073095.0,DefiLlama API
USDT,venus-flux,BSC,9.6,1.68,7.92,49929054.0,DefiLlama API
USDCUSDT,fluid-dex,Ethereum,1.87218,1.87218,,46103444.0,DefiLlama API
SUSDU,unitas,Solana,10.24941,10.24941,,46058195.0,DefiLlama API
PLASMAUSD,veda,Plasma,15.81454,15.81454,,43483361.0,DefiLlama API
SUSDAT,saturn,Ethereum,6.41197,6.41197,,43058015.0,DefiLlama API
LIQUIDUSD,ether.fi-liquid,Ethereum,4.4911,4.4911,,41291665.0,DefiLlama API
SUSDU,unitas,BSC,9.96308,9.96308,,37911146.0,DefiLlama API
USDC,goldfinch,Ethereum,10.06459,10.06459,,37247841.0,DefiLlama API
SIUSD,infinifi,Ethereum,5.53361,5.53361,,37141021.0,DefiLlama API
EARNAUSD,upshift,Monad,4.05059,1.50373,2.54686,37061018.0,DefiLlama API
XUSDC,multipli.fi,Ethereum,3.28,,,37055955.0,DefiLlama API
USDO,openeden-usdo,Ethereum,3.24513,3.24513,,36482565.0,DefiLlama API
YUSD,aegis,Ethereum,3.24,,,34190564.0,DefiLlama API
SFRXUSD,frax,Ethereum,3.89944,3.89944,,31688790.0,DefiLlama API
FXUSDSTABILITYPOOLV20,fx-protocol,Ethereum,4.83,,,30847336.0,DefiLlama API
