rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,68654976597.38318,26.94685939,10521495715.249699,58133480882.13348
2,Coinbase Exchange,coinbase-exchange,2009756399.9789906,13.2787214,2009756399.9789906,0.0
3,Upbit,upbit,1316943313.6741824,41.29222216,1316943313.6741824,0.0
6,OKX,okx,27187352389.454853,25.67927092,1503930831.4275541,25683421558.027298
7,Bybit,bybit,18857207414.329674,17.41439934,2745865880.3792186,16111341533.950455
8,Bitget,bitget,11812343563.839119,23.36522807,1026364537.2393234,10785979026.599796
9,Gate,gate,16197263143.37323,23.43139224,1335307685.003562,14861955458.369667
13,KuCoin,kucoin,5149776441.642141,7.49889558,2044738146.5843794,3105038295.0577617
15,MEXC,mexc,18223564653.455803,20.63665787,1361762229.5707862,16861802423.885015
23,HTX,htx,4989509534.069248,28.41017933,1556896646.5384672,3432612887.5307813
