asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend
BTC,BTCUSDT,78250.82,76469.27,78452.18,74821.57,2.33,94.45382456391663,偏强，上行主导
ETH,ETHUSDT,2396.48,2321.14,2413.83,2284.19,3.246,86.61678494291891,偏强，上行主导
