symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,78289.0,1567255987227.0,2.384599695208279
ETH,Ethereum,2398.21,289423626565.0,3.276100279355293
USDT,Tether,1.0,188517666561.0,-0.0004254741176876859
XRP,XRP,1.45,89509971630.0,0.9745839898930264
BNB,BNB,642.84,86646079892.0,1.3073016863783375
USDC,USDC,0.999807,77922783790.0,0.010317642824509945
SOL,Solana,88.29,50830873908.0,2.808887216194233
TRX,TRON,0.334645,31724850430.0,1.6630325518321547
FIGR_HELOC,Figure Heloc,1.034,17526568239.0,0.37301188363915405
DOGE,Dogecoin,0.097993,15083227063.0,2.595543551186531
