rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,48857767005.42745,-11.13400014,7675407665.885658,41182359339.541794
2,Coinbase Exchange,coinbase-exchange,1512675584.4199893,-3.95555606,1512675584.4199893,0.0
3,Upbit,upbit,747912898.1450734,5.32429499,747912898.1450734,0.0
6,OKX,okx,19126247954.983696,-12.58993794,1631729169.173299,17494518785.8104
7,Bybit,bybit,13344620309.450962,-3.95153384,2057221518.1550412,11287398791.295921
8,Bitget,bitget,8163408706.255864,-12.28569278,1054223605.9744917,7109185100.281373
10,Gate,gate,10932409757.244108,-13.3372316,1114230364.1339583,9818179393.11015
11,KuCoin,kucoin,3354994987.688708,-5.13585185,1195685064.6257346,2159309923.062973
13,MEXC,mexc,15720758265.602219,-7.19307928,1186567686.5774112,14534190579.024807
21,HTX,htx,3331943502.2045903,-6.55411285,1141705325.7337139,2190238176.470876
