rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,87094654674.24438,45.03834929,14207449077.035862,72887205597.20851
2,Coinbase Exchange,coinbase-exchange,2838859697.455242,63.98481193,2838859697.455242,0.0
3,Upbit,upbit,1656031514.6902318,33.24471226,1656031514.6902318,0.0
6,OKX,okx,31381501242.60063,28.72761827,2304220570.599501,29116058019.305824
7,Bybit,bybit,23092459989.89162,34.57616502,2868100538.4663987,20224359451.425224
8,Bitget,bitget,12488727922.799816,17.29332423,1197911394.6822681,11290816528.117548
9,Gate,gate,24560594649.269356,32.68879142,2672938985.4542475,21887655663.81511
10,KuCoin,kucoin,21739191712.96152,5.13524788,2706176211.7539296,19033015501.207592
14,MEXC,mexc,18580980703.756172,36.3243668,3722195496.416885,14858785207.339285
21,HTX,htx,4734578942.920716,18.37762246,1307424238.5468316,3427154704.3738847
