rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,65692699474.24306,16.19034202,7996418211.960602,57696281262.282455
2,Coinbase Exchange,coinbase-exchange,1394621484.6948323,14.49308758,1394621484.6948323,0.0
3,Upbit,upbit,608578286.0784132,12.17031712,608578286.0784132,0.0
6,OKX,okx,26353191076.350986,31.46745269,1519289848.1126287,24833901228.238358
7,Bybit,bybit,15068963559.444668,38.2799744,1687394858.6580484,13381568700.78662
8,Bitget,bitget,9439925610.470736,22.74361553,686643271.3879946,8753282339.08274
9,Gate,gate,14126825023.979494,28.42397,1550840120.4296496,12575984903.549845
10,KuCoin,kucoin,3315715629.655577,46.24697152,965006287.225633,2350709342.429944
13,MEXC,mexc,13798440720.46959,6.79517196,1385651838.6455896,12412788881.824
20,HTX,htx,2811037503.2848506,22.9939481,1082372701.4926033,1728664801.7922475
