symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,64691.0,1297418973594.0,3.044456682640332
ETH,Ethereum,1883.48,227287778296.0,4.841216159599843
USDT,Tether,0.999141,184193486117.0,0.031069703220494592
BNB,BNB,578.51,77035360853.0,1.4936107413884392
USDC,USDC,0.999879,72985353709.0,0.0023031431917125106
XRP,XRP,1.11,69181427457.0,3.3775546649747703
SOL,Solana,77.42,45085772688.0,2.776177620307377
TRX,TRON,0.327857,31105262846.0,0.8370274716486787
FIGR_HELOC,Figure Heloc,1.036,20637562948.0,0.3382649436739754
HYPE,Hyperliquid,68.26,15181472470.0,6.915954491223805
