asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend,source
BTC,BTCUSDT,64482.56,63434.0,64744.81,62742.47,1.653,86.90282369627533,偏强震荡,Binance global
ETH,ETHUSDT,1913.39,1875.27,1929.67,1856.88,2.033,77.63429042450889,偏强，上行主导,Binance global
