exchange,asset,spot_price_usd,mark_price_usd,index_price_usd,basis_pct,funding_rate_pct,funding_interval_hours,annual_funding_pct,open_interest_contracts,quote_ccy
Binance,BTC,64476.01,64441.6,64477.78304348,-0.056117071295084336,0.003993,8.0,4.372335,103462.69,USDT
Binance,ETH,1913.17,1912.14645736,1913.36883721,-0.0638862631306545,0.008146,8.0,8.91987,2299260.376,USDT
OKX,BTC,64476.8,64444.6,,,0.006302451232690001,8.0,6.901184099795551,31023.760600000183,USDT
OKX,ETH,1913.19,1912.09,,,-0.0046111587543199994,8.0,-5.049218835980399,712654.3530000017,USDT
