rank,topic,title,summary,tickers,sources,item_count,confidence,causality_status,evidence_urls
1,market_news,market_news 热点：AmericanFortress proposes quantum-safe crypto wallet protection without fund migration,"market_news 相关新闻在 38 条样本中出现，涉及 BTC, ETH, MARA, SOL。当前仅作为事件背景和验证线索，不单独解释价格或资金流。代表标题：AmericanFortress proposes quantum-safe crypto wallet protection without fund migration；Morgan Stanley expands crypto lineup with Ether, Solana ETPs","BTC,ETH,MARA,SOL","Cointelegraph,TechFlow 深潮,Yahoo Finance",38,0.466,news_context_only,https://cointelegraph.com/news/americanfortress-proposes-quantum-safe-crypto-wallet-protection-without-fund-migration?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound https://cointelegraph.com/news/morgan-stanley-expands-crypto-lineup-with-ether-solana-etps?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound https://www.techflowpost.com/newsletter/detail_129981.html
2,rwa,rwa 热点：比特币 6.6 万反弹遭遇 Warsh 时刻：本周 FOMC 才是加密市场的指挥棒,"rwa 相关新闻在 9 条样本中出现，涉及 BNB, BTC, COIN, ETH, MSTR。当前仅作为事件背景和验证线索，不单独解释价格或资金流。代表标题：比特币 6.6 万反弹遭遇 Warsh 时刻：本周 FOMC 才是加密市场的指挥棒；消失的买入键","BNB,BTC,COIN,ETH,MSTR,NVDA,SOL,TSLA","Cointelegraph,TechFlow 深潮",9,0.679,news_context_only,https://www.techflowpost.com/article/detail_32894.html https://www.techflowpost.com/article/detail_32893.html https://cointelegraph.com/news/tether-signs-tokenization-deal-with-nairobi-securities-exchange?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound
3,stablecoin,stablecoin 热点：俄罗斯央行发布加密交易所及托管机构监管规则草案,"stablecoin 相关新闻在 9 条样本中出现，涉及 BTC, ETH, MSTR。当前仅作为事件背景和验证线索，不单独解释价格或资金流。代表标题：俄罗斯央行发布加密交易所及托管机构监管规则草案；Bybit 上线定投挑战赛，特设 BTC, ETH和 XAUT 奖池","BTC,ETH,MSTR","Cointelegraph,TechFlow 深潮",9,0.65,news_context_only,https://www.techflowpost.com/newsletter/detail_129972.html https://www.techflowpost.com/newsletter/detail_129987.html https://www.techflowpost.com/newsletter/detail_129992.html
4,macro,macro 热点：多年来「最不确定」的一次，今晚的美联储会给「惊吓」吗？,"macro 相关新闻在 8 条样本中出现。当前仅作为事件背景和验证线索，不单独解释价格或资金流。代表标题：多年来「最不确定」的一次，今晚的美联储会给「惊吓」吗？；Stocks muted as investors count down to Fed verdict, tech earnings",,"TechFlow 深潮,Yahoo Finance",8,0.56,news_context_only,https://www.techflowpost.com/article/detail_32895.html https://finance.yahoo.com/markets/stocks/articles/stocks-muted-investors-count-down-085413437.html https://finance.yahoo.com/markets/live/stock-market-today-wednesday-july-29-dow-sp-500-nasdaq-082009165.html
5,earnings,earnings 热点：Johnson & Johnson vs. Eli Lilly: Reliable Stability vs. Rapid Revenue Growth,"earnings 相关新闻在 6 条样本中出现。当前仅作为事件背景和验证线索，不单独解释价格或资金流。代表标题：Johnson & Johnson vs. Eli Lilly: Reliable Stability vs. Rapid Revenue Growth；Dow Jones Futures Fall, Oil Jumps On Iran News; Seagate, SK Hynix, KLA, Bloom Energy Are AI Earnings Movers",,"Cointelegraph,Yahoo Finance",6,0.53,news_context_only,https://finance.yahoo.com/healthcare/articles/johnson-johnson-vs-eli-lilly-114401576.html https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-market-seagate-sk-hynix-kla-bloom-energy-earnings-fed-meeting/?src=A00220&yptr=yahoo https://www.investors.com/news/technology/sofi-stock-sofi-earnings-news-q22026/?src=A00220&yptr=yahoo
