protocol,chain,asset,supply_apy_pct,rewards_apy_pct,total_apy_pct,total_apy_method,borrow_apy_pct,tvl_usd,total_supply_usd,total_borrow_usd,utilization_pct,supply_cap_usd,borrow_cap_usd,available_liquidity_usd,can_be_collateral,is_paused,is_frozen,data_completeness,risk_note,safety_rank,pool_id,source_primary,source_tags,updated_at_utc
Aave,Ethereum,DAI,3.3580687209688582,,3.3580687209688582,supply_plus_rewards,5.013965642208228,11178991.0,,,90.01861417385861,199976892.0,179979202.8,11180407.370384496,False,False,False,6,审计成熟/头部流动性,1,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-29T12:04:00.987166+00:00
Aave,Ethereum,PYUSD,2.947668654350691,,2.947668654350691,supply_plus_rewards,4.415159836806143,2720127.0,,,74.71075110456933,20998938.03,17999089.74,2720177.876657047,False,False,False,6,审计成熟/头部流动性,1,d118f505-e75f-4152-bad3-49a2dc7482bf,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-29T12:04:00.987422+00:00
Aave,Ethereum,USDT,2.7110749496110578,1.32,4.031074949611058,supply_plus_rewards,3.6601947236138246,77121337.0,,,82.68037272448213,3476093073.6,3086530918.8,524309511.300503,True,False,False,7,审计成熟/头部流动性,2,a90d554a-b548-4f50-b03e-9dcb724b7777,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-29T12:04:00.986967+00:00
Aave,Ethereum,USDC,3.244460538571852,1.5,4.744460538571852,supply_plus_rewards,4.00558924936579,64763613.0,,,90.32991273932005,2499542475.0,2249588227.5,207685881.6361209,True,False,False,7,审计成熟/头部流动性,2,6f00d46b-8735-49ae-9ced-2a0fccc56ad0,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-29T12:04:00.986988+00:00
Aave,Ethereum,USDS,0.12682669822527118,3.42512,3.5519466982252714,supply_plus_rewards,5.680410256184984,11847640.0,,,3.0588552664846587,49990378.0,34193418.552,11847032.27790587,False,False,False,7,审计成熟/头部流动性,2,e65588a1-27ad-4e20-9232-68a6cfaccf63,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-29T12:04:00.987155+00:00
Aave,Arbitrum,USDC,2.6258908054057915,,2.6258908054057915,supply_plus_rewards,3.6424883945337307,33185159.0,,,80.49863609124576,249948915.0,224954023.5,33226857.789978657,True,False,False,6,审计成熟/头部流动性,2,d9fa8e14-0447-4207-9ae8-7810199dfa1f,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-29T12:04:00.987035+00:00
Aave,Base,USDC,3.597368662286922,,3.597368662286922,supply_plus_rewards,4.530699243987586,19874471.0,,,88.62111283353488,229953512.4,206958161.16,19804208.42740478,True,False,False,6,审计成熟/头部流动性,2,7e0661bf-8cf3-45e6-9424-31916d4c7b84,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-29T12:04:00.987088+00:00
Aave,Arbitrum,DAI,2.0208612191455657,,2.0208612191455657,supply_plus_rewards,3.924882075601973,1094602.0,,,69.29686803780778,4898050.094,4408245.0846,1094576.6092932902,False,False,False,6,审计成熟/头部流动性,2,a8e3d841-2788-4647-ad54-5a36fac451b1,DefiLlama+Aave API,"DefiLlama,Aave API",2026-07-29T12:04:00.987689+00:00
Spark,Ethereum,USDT,2.75,,2.75,supply_plus_rewards,,405738965.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,DefiLlama,DefiLlama,2026-07-29T12:04:00.986879+00:00
Spark,Ethereum,USDS,2.03494,,2.03494,supply_plus_rewards,,286080889.0,,,,,,,,,,2,Aave系改造/审计覆盖,2,0ed981dc-b49d-426d-ade5-6014728b1ef9,DefiLlama,DefiLlama,2026-07-29T12:04:00.986899+00:00
