rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,75077361241.88197,12.27640837,7245301591.651393,67832059650.230576
2,Coinbase Exchange,coinbase-exchange,1142279901.3642352,11.60166293,1142279901.3642352,0.0
3,Upbit,upbit,646386045.124918,-10.26247551,646386045.124918,0.0
6,OKX,okx,27605516166.97725,6.36581748,1305619829.3790438,26299896337.598206
7,Bybit,bybit,13367147370.347141,-4.19536207,1305915096.3524384,12061232273.994701
8,Bitget,bitget,9829403502.928053,12.26343299,748702556.6298783,9080700946.298174
9,Gate,gate,11392996992.530422,-7.68377803,1224481401.2239158,10168515591.306507
10,KuCoin,kucoin,2529223501.751536,0.88730298,1028890284.1935306,1500333217.558005
16,MEXC,mexc,15133282115.168835,5.35181244,1061107592.8794048,14072174522.289429
22,HTX,htx,2381579848.7190547,-4.72304272,859686325.9471046,1521893522.7719502
