id,symbol,name,start_price_usd,end_price_usd,monthly_change_pct
bitcoin,btc,Bitcoin,78138.26976073837,73876.60588468595,-5.454003382851658
ethereum,eth,Ethereum,2293.021408224809,2010.727403216316,-12.311006081144138
binancecoin,bnb,BNB,614.9525724127836,711.3831938811387,15.680985135163649
ripple,xrp,XRP,1.3835855540909856,1.3357454209824164,-3.457692440277038
solana,sol,Solana,83.6968022640652,82.4041689365263,-1.5444237922741744
tron,trx,TRON,0.32676516650281584,0.35037961597294015,7.226734025188941
hyperliquid,hype,Hyperliquid,40.943419451559315,72.54962188537021,77.19482851500618
dogecoin,doge,Dogecoin,0.10840452650402284,0.10036040068926373,-7.420470412239288
leo-token,leo,LEO Token,10.327685275401501,10.018319432721931,-2.995500292949649
stellar,xlm,Stellar,0.15991971063472862,0.2562615887057063,60.24390469979741
