currency,instrument,last_price,mark_price,open_interest,current_funding,funding_8h,volume_usd_24h
BTC,BTC-PERPETUAL,68889.5,68886.13,975241300.0,0.0,4.2e-07,347466230.0
ETH,ETH-PERPETUAL,2138.35,2137.29,317794049.0,0.0,0.0,136095747.0
