currency,instrument,last_price,mark_price,open_interest,current_funding,funding_8h,volume_usd_24h
BTC,BTC-PERPETUAL,58557.5,58573.33,834492230.0,0.0,-7e-08,291502470.0
ETH,ETH-PERPETUAL,1573.0,1573.34,261462944.0,0.0,2e-06,79691795.0
