symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,71491.0,1430873646201.0,-1.9543132805534404
ETH,Ethereum,2205.27,266151738267.0,-1.8389787957053163
USDT,Tether,1.0,184419068001.0,-0.0037732890444790957
XRP,XRP,1.33,81884518197.0,-0.9055739622970068
BNB,BNB,595.64,81218051948.0,-1.6073878524650709
USDC,USDC,0.999952,78633730317.0,0.003493048409197242
SOL,Solana,82.23,47246158295.0,-2.37537739862875
TRX,TRON,0.321732,30490378899.0,1.225234643812593
FIGR_HELOC,Figure Heloc,1.04,17315077454.0,1.8143028727881927
DOGE,Dogecoin,0.091353,14052300877.0,-1.7158593042020165
