source,asset,daily_rate_pct,annual_rate_pct,borrow_limit,tier,rate_basis,updated_at_utc
Binance,USDT,0.010957,3.9993049999999997,500000.0,VIP0,daily,2026-08-18T12:24:01.644510+00:00
OKX,USDT,0.007679999999999999,2.8032,5000000.0,Public,daily,2026-08-18T12:24:02.134577+00:00
Bybit,USDT,0.010738043999999999,3.91938606,8000000.0,No VIP,hourly,2026-08-18T12:24:03.188064+00:00
Backpack,USDT,0.011648524608100626,4.251711481956728,50000000.0,Public,annual,2026-08-18T12:24:03.700810+00:00
Binance,USDC,0.014779999999999998,5.394699999999999,500000.0,VIP0,daily,2026-08-18T12:24:01.644924+00:00
OKX,USDC,0.007679999999999999,2.8032,1000000.0,Public,daily,2026-08-18T12:24:02.134669+00:00
Bybit,USDC,0.0128826216,4.702156884,3500000.0,No VIP,hourly,2026-08-18T12:24:03.188148+00:00
Backpack,USDC,0.005413594407800722,1.9759619588472634,300000000.0,Public,annual,2026-08-18T12:24:03.700915+00:00
Bybit,USDE,0.0136990632,5.000158068,1013200.0,No VIP,hourly,2026-08-18T12:24:03.188341+00:00
Binance,BTC,0.001205,0.439825,100.0,VIP0,daily,2026-08-18T12:24:01.647374+00:00
OKX,BTC,0.001392,0.50808,175.0,Public,daily,2026-08-18T12:24:02.134909+00:00
Bybit,BTC,0.0012045191999999999,0.439649508,300.0,No VIP,hourly,2026-08-18T12:24:03.188352+00:00
Backpack,BTC,0.0013255186378398624,0.4838143028115498,3000.0,Public,annual,2026-08-18T12:24:03.700961+00:00
Binance,ETH,0.006449999999999999,2.35425,2000.0,VIP0,daily,2026-08-18T12:24:01.647438+00:00
OKX,ETH,0.00276,1.0074,7000.0,Public,daily,2026-08-18T12:24:02.134919+00:00
Bybit,ETH,0.004654632,1.69894068,2000.0,No VIP,hourly,2026-08-18T12:24:03.188366+00:00
Backpack,ETH,0.0023498754774390084,0.8577045492652381,20000.0,Public,annual,2026-08-18T12:24:03.700977+00:00
