rank,name,slug,volume24h_usd,change_24h_pct,spot24h_usd,deriv24h_usd
1,Binance,binance,52834248292.40499,61.57786434,5262901002.760549,47571347289.64444
2,Coinbase Exchange,coinbase-exchange,888210013.8800567,53.93233977,888210013.8800567,0.0
3,Upbit,upbit,431386019.7888757,18.41692602,431386019.7888757,0.0
6,OKX,okx,17913328475.792892,47.50793447,956418105.4787042,16956910370.314188
7,Bybit,bybit,9521636919.013653,26.13092901,1172306563.4539268,8349330355.559727
8,Bitget,bitget,6419000300.821443,42.62488028,480447132.3687593,5938553168.452683
10,Gate,gate,9596736397.16535,51.91741753,781264033.1729581,8815472363.992392
12,KuCoin,kucoin,1734103747.3666377,11.70578988,722260427.7017158,1011843319.6649218
14,MEXC,mexc,16152501916.503862,59.51582144,937116434.577482,15215385481.92638
23,HTX,htx,1842710504.3369868,20.96347718,694935133.7200016,1147775370.616985
