asset,symbol,price_usd,open_usd,high_usd,low_usd,change_24h_pct,range_pos_pct,trend,source
BTC,BTCUSDT,64305.41,63628.11,64610.01,63444.17,1.064,73.8729156659578,偏强震荡,Binance global
ETH,ETHUSDT,1901.81,1902.37,1918.71,1885.78,-0.029,48.67901609474625,区间震荡,Binance global
