asset,symbol,timestamp_utc,open_usd,high_usd,low_usd,close_usd
BTC,BTCUSDT,2026-04-29T14:00:00+00:00,76783.42,76927.69,76489.99,76570.0
BTC,BTCUSDT,2026-04-29T15:00:00+00:00,76570.0,76634.61,75705.32,75924.25
BTC,BTCUSDT,2026-04-29T16:00:00+00:00,75924.24,76125.47,75696.13,75803.54
BTC,BTCUSDT,2026-04-29T17:00:00+00:00,75803.55,76184.01,75803.55,76184.01
BTC,BTCUSDT,2026-04-29T18:00:00+00:00,76184.0,76274.8,74937.52,75513.91
BTC,BTCUSDT,2026-04-29T19:00:00+00:00,75513.92,75591.83,75302.31,75563.86
BTC,BTCUSDT,2026-04-29T20:00:00+00:00,75563.87,75857.32,75497.43,75676.79
BTC,BTCUSDT,2026-04-29T21:00:00+00:00,75676.79,76088.9,75607.7,75933.93
BTC,BTCUSDT,2026-04-29T22:00:00+00:00,75933.94,76004.14,75818.14,75927.38
BTC,BTCUSDT,2026-04-29T23:00:00+00:00,75927.38,75990.06,75692.33,75780.0
BTC,BTCUSDT,2026-04-30T00:00:00+00:00,75780.0,76344.61,75656.03,76248.74
BTC,BTCUSDT,2026-04-30T01:00:00+00:00,76248.76,76473.26,76178.73,76232.8
BTC,BTCUSDT,2026-04-30T02:00:00+00:00,76232.81,76351.04,75494.7,75704.74
BTC,BTCUSDT,2026-04-30T03:00:00+00:00,75704.74,75994.26,75659.85,75928.1
BTC,BTCUSDT,2026-04-30T04:00:00+00:00,75928.09,75963.92,75414.57,75497.0
BTC,BTCUSDT,2026-04-30T05:00:00+00:00,75497.01,75750.0,75323.65,75600.09
BTC,BTCUSDT,2026-04-30T06:00:00+00:00,75600.09,75867.9,75569.99,75753.53
BTC,BTCUSDT,2026-04-30T07:00:00+00:00,75753.54,76179.91,75718.5,76161.67
BTC,BTCUSDT,2026-04-30T08:00:00+00:00,76161.67,76208.92,76019.57,76058.17
BTC,BTCUSDT,2026-04-30T09:00:00+00:00,76058.17,76339.38,76012.6,76097.19
BTC,BTCUSDT,2026-04-30T10:00:00+00:00,76097.19,76163.52,75974.93,76028.66
BTC,BTCUSDT,2026-04-30T11:00:00+00:00,76028.66,76244.36,75876.29,76059.43
BTC,BTCUSDT,2026-04-30T12:00:00+00:00,76059.42,76143.5,76042.75,76118.01
ETH,ETHUSDT,2026-04-29T14:00:00+00:00,2303.02,2308.29,2293.86,2299.39
ETH,ETHUSDT,2026-04-29T15:00:00+00:00,2299.4,2301.24,2263.1,2272.51
ETH,ETHUSDT,2026-04-29T16:00:00+00:00,2272.5,2279.27,2263.35,2267.47
ETH,ETHUSDT,2026-04-29T17:00:00+00:00,2267.48,2283.33,2266.3,2283.12
ETH,ETHUSDT,2026-04-29T18:00:00+00:00,2283.12,2285.92,2220.36,2239.41
ETH,ETHUSDT,2026-04-29T19:00:00+00:00,2239.41,2242.44,2225.0,2233.7
ETH,ETHUSDT,2026-04-29T20:00:00+00:00,2233.69,2248.73,2230.49,2240.42
ETH,ETHUSDT,2026-04-29T21:00:00+00:00,2240.42,2264.8,2238.59,2253.13
ETH,ETHUSDT,2026-04-29T22:00:00+00:00,2253.14,2259.01,2250.19,2257.78
ETH,ETHUSDT,2026-04-29T23:00:00+00:00,2257.77,2260.3,2250.35,2252.9
ETH,ETHUSDT,2026-04-30T00:00:00+00:00,2252.9,2275.0,2249.47,2272.46
ETH,ETHUSDT,2026-04-30T01:00:00+00:00,2272.45,2279.0,2267.06,2269.35
ETH,ETHUSDT,2026-04-30T02:00:00+00:00,2269.36,2273.14,2236.36,2245.13
ETH,ETHUSDT,2026-04-30T03:00:00+00:00,2245.12,2256.82,2243.89,2253.24
ETH,ETHUSDT,2026-04-30T04:00:00+00:00,2253.24,2254.27,2236.89,2238.97
ETH,ETHUSDT,2026-04-30T05:00:00+00:00,2238.98,2248.31,2231.64,2242.76
ETH,ETHUSDT,2026-04-30T06:00:00+00:00,2242.76,2252.49,2241.86,2248.03
ETH,ETHUSDT,2026-04-30T07:00:00+00:00,2248.03,2262.23,2243.71,2260.31
ETH,ETHUSDT,2026-04-30T08:00:00+00:00,2260.31,2263.21,2255.27,2256.65
ETH,ETHUSDT,2026-04-30T09:00:00+00:00,2256.65,2271.11,2256.0,2261.86
ETH,ETHUSDT,2026-04-30T10:00:00+00:00,2261.86,2265.74,2256.78,2262.01
ETH,ETHUSDT,2026-04-30T11:00:00+00:00,2262.0,2273.7,2252.07,2258.18
ETH,ETHUSDT,2026-04-30T12:00:00+00:00,2258.18,2262.01,2257.74,2261.39
