symbol,name,price_usd,market_cap_usd,change_24h_pct
BTC,Bitcoin,76048.0,1522664964837.0,-1.9003872782641404
ETH,Ethereum,2258.73,272569013478.0,-2.973989820396919
USDT,Tether,0.999478,189501106578.0,-0.033884701609346195
XRP,XRP,1.37,84459858490.0,-1.7893250089453416
BNB,BNB,615.54,82965814068.0,-1.6096018159736554
USDC,USDC,0.999705,77155674892.0,-0.009723775831364946
SOL,Solana,82.99,47797614580.0,-2.244307047713745
TRX,TRON,0.325608,30863227467.0,0.8088963607332302
FIGR_HELOC,Figure Heloc,1.034,17803576978.0,0.05244869100357305
DOGE,Dogecoin,0.106492,16404377568.0,-1.6982091473524776
